Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Vermont,15,1,.938,28,6,.824,72.3,63.0,2.9,-3.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Massachusetts-Lowell,11,5,.688,22,10,.688,80.0,70.7,-1.1,-5.9,
2,Bryant,11,5,.688,20,13,.606,78.7,75.4,-2.9,-3.4,
4,New Hampshire,7,9,.438,16,15,.516,74.1,74.1,-6.1,-3.5,
4,Binghamton,7,9,.438,15,15,.500,72.1,72.2,-9.1,-5.1,
4,Maine,7,9,.438,15,17,.469,67.6,67.5,-6.2,-4.7,
7,Maryland-Baltimore County,6,10,.375,11,21,.344,78.7,80.7,-8.5,-5.8,
8,Albany (NY),5,11,.313,13,19,.406,78.7,78.8,-6.5,-5.1,
9,NJIT,3,13,.188,7,21,.250,67.9,75.0,-14.5,-4.3,
