Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Towson,16,2,.889,22,11,.667,70.0,66.7,-1.9,-3.6,Reg. Season Champion
2,UNC Wilmington,14,4,.778,27,8,.771,79.2,70.3,2.4,-3.9,NCAA Tournament; Conf. Tournament Champion
3,College of Charleston,13,5,.722,24,9,.727,77.2,73.8,-0.6,-3.4,
4,William & Mary,11,7,.611,17,15,.531,77.7,76.4,-6.3,-4.3,
5,Campbell,10,8,.556,15,17,.469,70.2,67.8,-5.4,-5.0,
5,Monmouth,10,8,.556,13,20,.394,70.3,75.4,-8.1,-3.1,
7,Drexel,9,9,.500,18,15,.545,70.4,66.9,-3.6,-5.6,
7,Northeastern,9,9,.500,17,15,.531,70.1,69.7,-4.6,-5.1,
9,Elon,8,10,.444,17,16,.515,73.7,70.2,-4.3,-4.9,
9,Hampton,8,10,.444,17,16,.515,72.5,70.0,-5.2,-4.0,
11,Hofstra,6,12,.333,15,18,.455,66.7,64.9,-5.0,-3.9,
12,Delaware,5,13,.278,16,20,.444,77.2,77.9,-6.1,-4.1,
13,Stony Brook,4,14,.222,8,24,.250,66.5,74.1,-13.8,-4.4,
14,North Carolina A&T,3,15,.167,7,25,.219,69.2,76.2,-13.3,-4.3,
