Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Utah Valley,15,3,.833,28,9,.757,77.4,68.6,8.5,1.8,Reg. Season Champion
2,Sam Houston,14,4,.778,26,8,.765,72.2,59.3,7.1,1.1,
3,Southern Utah,12,6,.667,24,13,.649,82.8,74.7,3.4,1.4,
4,Seattle,11,7,.611,20,12,.625,72.0,69.0,0.9,0.7,
4,Stephen F. Austin,11,7,.611,19,13,.594,75.8,69.9,0.7,-0.7,
6,Grand Canyon,10,7,.588,24,12,.667,75.2,67.3,4.4,1.3,NCAA Tournament; Conf. Tournament Champion
7,Tarleton State,8,9,.471,17,17,.500,71.9,67.9,-0.8,1.7,
8,California Baptist,7,10,.412,17,16,.515,69.4,65.3,0.2,-0.7,
9,UT Arlington,6,12,.333,11,21,.344,66.4,68.4,-5.0,2.1,
10,Abilene Christian,5,11,.313,13,17,.433,75.0,71.1,-2.8,0.9,
11,Texas-Rio Grande Valley,5,12,.294,15,17,.469,78.7,78.2,-6.5,-0.6,
12,Utah Tech,5,13,.278,14,19,.424,75.6,73.3,-0.2,1.0,
13,New Mexico State,2,10,.167,9,15,.375,73.7,71.7,-1.6,2.4,
