Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Louisiana Tech,16,2,.889,27,7,.794,72.6,63.3,5.5,-2.1,Reg. Season Champion
1,Denver,16,2,.889,22,10,.688,64.9,55.9,9.2,0.3,Reg. Season Champion
3,New Mexico State,14,4,.778,24,11,.686,67.3,62.1,5.1,0.7,NCAA Tournament; Conf. Tournament Champion
4,Utah State,11,7,.611,21,10,.677,68.8,63.6,3.8,-0.7,
4,Texas-Arlington,11,7,.611,19,14,.576,64.3,62.8,0.6,-0.9,
6,Idaho,7,11,.389,12,18,.400,68.3,69.3,-2.2,0.3,
7,Texas State,5,13,.278,12,22,.353,70.5,75.2,-6.4,-0.9,
8,Texas-San Antonio,3,14,.176,10,22,.313,64.0,69.5,-6.5,-1.0,
8,San Jose State,3,14,.176,9,20,.310,62.1,68.9,-9.4,-0.9,
10,Seattle,3,15,.167,8,22,.267,65.5,68.6,-4.5,-1.0,
