Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Nevada,16,2,.889,25,7,.781,69.5,61.7,9.3,3.0,NCAA Tournament; Reg. Season Champion
2,Texas-El Paso,14,4,.778,27,8,.771,74.7,65.1,9.6,0.9,NCAA Tournament; Conf. Tournament Champion
3,Rice,12,6,.667,19,12,.613,74.2,70.0,6.2,3.1,
4,Fresno State,9,9,.500,16,14,.533,71.4,70.3,1.1,0.3,
5,Louisiana Tech,9,9,.500,14,15,.483,70.3,70.5,1.1,1.2,
6,Southern Methodist,9,9,.500,14,14,.500,69.5,67.5,3.6,2.1,
7,Hawaii,7,11,.389,16,13,.552,68.6,66.4,4.1,1.9,
8,Boise State,6,12,.333,16,18,.471,70.4,74.2,-3.0,0.6,
9,Tulsa,5,13,.278,9,20,.310,71.4,72.3,0.8,1.7,
10,San Jose State,3,15,.167,6,23,.207,61.0,71.1,-7.7,2.4,
