Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Nevada,13,5,.722,25,9,.735,75.9,66.4,14.9,5.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Texas-El Paso,13,5,.722,24,8,.750,77.5,67.5,11.4,3.6,NCAA Tournament; Reg. Season Champion
3,Boise State,12,6,.667,23,10,.697,73.7,67.5,8.8,4.1,
4,Rice,12,6,.667,22,11,.667,74.1,70.0,7.5,4.0,
5,Hawaii,11,7,.611,21,12,.636,70.8,67.1,7.7,4.2,
6,Fresno State,10,8,.556,14,15,.483,62.8,61.8,5.8,5.1,
7,Louisiana Tech,8,10,.444,15,15,.500,67.0,66.5,2.3,2.6,
8,Southern Methodist,5,13,.278,12,18,.400,64.6,68.7,0.7,4.8,
9,Tulsa,5,13,.278,9,20,.310,68.3,71.7,1.3,4.6,
10,San Jose State,1,17,.056,6,23,.207,61.3,67.5,-4.3,3.6,
