Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Fresno State,13,5,.722,20,8,.714,71.6,66.8,5.3,0.4,Reg. Season Champion
2,Tulsa,12,6,.667,23,10,.697,73.4,65.3,10.4,2.3,NCAA Tournament; Conf. Tournament Champion
3,Southern Methodist,11,7,.611,17,13,.567,72.8,72.8,1.8,1.8,
4,Nevada,11,7,.611,18,14,.563,76.0,71.9,6.0,2.1,
5,Rice,11,7,.611,19,10,.655,74.4,69.6,3.3,0.9,
6,Hawaii,9,9,.500,19,12,.613,70.3,67.4,4.5,1.6,
7,Louisiana Tech,9,9,.500,12,15,.444,68.7,70.9,-1.4,2.9,
8,Boise State,7,11,.389,13,16,.448,65.4,66.3,-1.0,0.1,
9,San Jose State,4,14,.222,7,21,.250,65.8,72.6,-8.8,0.2,
10,Texas-El Paso,3,15,.167,6,24,.200,63.1,73.2,-10.7,0.0,
