Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,McNeese State,11,5,.688,21,12,.636,74.1,71.3,-4.7,-4.4,Reg. Season Champion
2,Northwestern State,10,6,.625,18,14,.563,76.9,77.6,-8.9,-7.0,
3,Southeastern Louisiana,9,7,.563,15,14,.517,70.0,69.1,-8.9,-5.4,
4,Nicholls State,8,8,.500,14,14,.500,65.6,61.8,-5.7,-4.5,
5,Lamar,7,9,.438,13,17,.433,82.1,76.0,-6.7,-6.0,
6,Central Arkansas,1,15,.063,5,24,.172,68.4,76.4,-19.2,-5.4,
1,Sam Houston State,10,6,.625,18,13,.581,69.7,66.1,-2.4,-3.9,Reg. Season Champion
1,Texas State,10,6,.625,16,16,.500,78.3,78.4,-7.6,-5.9,Reg. Season Champion
3,Stephen F. Austin,9,7,.563,18,11,.621,66.4,56.7,-3.3,-7.7,
3,Texas-San Antonio,9,7,.563,20,14,.588,70.1,69.5,-5.8,-4.9,NCAA Tournament; Conf. Tournament Champion
5,Texas-Arlington,7,9,.438,13,16,.448,70.9,68.7,-7.6,-5.5,
6,Texas A&M-Corpus Christi,5,11,.313,10,21,.323,62.7,70.8,-12.3,-2.1,
