Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Lamar,11,5,.688,23,12,.657,73.5,65.6,2.4,-3.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,McNeese State,10,6,.625,17,16,.515,66.9,66.2,-6.3,-3.8,
3,Northwestern State,8,8,.500,16,16,.500,70.6,70.0,-6.3,-4.2,
4,Nicholls State,6,10,.375,10,20,.333,66.3,77.9,-18.5,-3.9,
5,Southeastern Louisiana,5,11,.313,12,17,.414,59.9,61.9,-11.9,-6.4,
6,Central Arkansas,3,13,.188,8,21,.276,71.0,81.8,-17.3,-4.8,
1,Texas-Arlington,15,1,.938,24,9,.727,76.9,67.6,3.4,-5.1,Reg. Season Champion
2,Stephen F. Austin,12,4,.750,20,12,.625,61.6,54.4,-1.5,-5.7,
3,Texas-San Antonio,10,6,.625,18,14,.563,73.1,67.8,-1.8,-4.4,
4,Sam Houston State,7,9,.438,13,19,.406,58.6,60.7,-9.1,-3.2,
5,Texas State,5,11,.313,13,17,.433,76.4,74.8,-8.7,-5.3,
6,Texas A&M-Corpus Christi,4,12,.250,6,24,.200,58.5,67.7,-12.2,-3.0,
