Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Stephen F. Austin,11,5,.688,23,9,.719,66.4,59.8,-2.4,-6.9,Reg. Season Champion
2,Southeastern Louisiana,10,6,.625,19,12,.613,72.7,66.9,-4.0,-6.2,
3,Nicholls State,7,9,.438,11,19,.367,65.6,70.5,-11.0,-2.6,
4,Northwestern State,5,11,.313,10,19,.345,75.4,80.4,-15.0,-4.7,
4,McNeese State,5,11,.313,10,20,.333,67.7,70.2,-11.8,-4.3,
6,Central Arkansas-nm,3,13,.188,9,21,.300,63.2,67.0,,,
1,Sam Houston State,14,2,.875,25,8,.758,79.3,69.2,3.7,-3.4,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Texas A&M-Corpus Christi,10,6,.625,17,15,.531,68.3,66.2,-2.1,-2.8,
3,Texas State,9,7,.563,15,16,.484,77.2,77.8,-7.4,-3.3,
4,Texas-San Antonio,9,7,.563,19,11,.633,70.7,66.1,-2.9,-5.4,
5,Texas-Arlington,8,8,.500,16,14,.533,73.9,73.5,-8.1,-4.0,
6,Lamar,5,11,.313,14,18,.438,68.8,71.5,-11.1,-4.2,
