Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,McNeese State,17,3,.850,21,9,.700,70.1,63.6,-0.6,-5.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Louisiana-Monroe,15,5,.750,20,12,.625,71.1,70.9,-5.5,-4.4,
3,Texas-San Antonio,13,7,.650,19,10,.655,76.9,72.3,-3.3,-7.8,
4,Lamar,11,9,.550,15,14,.517,70.1,71.4,-9.4,-7.9,
5,Stephen F. Austin,10,10,.500,13,15,.464,63.4,64.7,-10.3,-8.3,
5,Texas State,10,10,.500,12,16,.429,74.6,75.1,-8.9,-6.5,
7,Sam Houston State,9,11,.450,14,14,.500,74.6,73.2,-5.0,-6.4,
7,Texas-Arlington,9,11,.450,12,15,.444,76.3,77.8,-10.4,-6.5,
7,Northwestern State,9,11,.450,13,18,.419,73.1,76.2,-9.4,-5.6,
10,Southeastern Louisiana,6,14,.300,7,20,.259,57.1,62.9,-14.6,-7.4,
11,Nicholls State,1,19,.050,2,25,.074,59.3,78.3,-24.4,-4.4,
