Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Nicholls State,15,3,.833,21,11,.656,82.5,75.3,-3.5,-5.9,Reg. Season Champion
1,Southeastern Louisiana,15,3,.833,22,12,.647,71.7,69.3,-6.4,-6.2,Reg. Season Champion
3,Stephen F. Austin,14,4,.778,28,7,.800,80.5,68.2,2.7,-6.5,NCAA Tournament; Conf. Tournament Champion; *Overall W-L adjusted to 0-7 conference W-L adjusted to 0-4
4,Sam Houston State,12,6,.667,21,15,.583,71.4,68.8,-5.1,-4.8,
5,Lamar,11,7,.611,19,14,.576,75.8,69.6,-5.2,-7.2,
5,New Orleans,11,7,.611,16,17,.485,69.6,70.4,-9.0,-5.8,
7,Central Arkansas,10,8,.556,18,17,.514,80.5,79.0,-5.8,-6.0,
8,Abilene Christian,8,10,.444,16,16,.500,73.7,71.2,-9.1,-6.8,
8,McNeese State,8,10,.444,12,17,.414,75.3,76.2,-12.1,-6.1,
8,Texas A&M-Corpus Christi,8,10,.444,11,18,.379,67.7,70.9,-12.3,-6.6,
11,Incarnate Word,2,16,.111,7,21,.250,70.6,77.3,-17.7,-5.0,
11,Houston Baptist,2,16,.111,6,25,.194,76.8,84.4,-16.1,-4.0,
13,Northwestern State,1,17,.056,4,25,.138,64.4,78.1,-21.0,-4.2,
