Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Stephen F. Austin,18,0,1.000,28,6,.824,80.2,63.3,9.2,-5.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; *Overall W-L adjusted to 0-6 conference W-L adjusted to 0-0
2,Texas A&M-Corpus Christi,15,3,.833,25,8,.758,73.6,69.9,-3.2,-5.4,
3,Incarnate Word,12,6,.667,17,12,.586,74.0,73.8,-9.2,-6.2,
3,Sam Houston State,12,6,.667,18,16,.529,75.0,71.4,-6.1,-6.5,
5,Houston Baptist,10,8,.556,17,17,.500,76.6,75.9,-10.4,-5.3,
6,Southeastern Louisiana,9,9,.500,12,21,.364,71.0,75.4,-13.6,-7.5,
7,Abilene Christian,8,10,.444,13,18,.419,71.3,73.3,-13.9,-7.5,
8,McNeese State,7,11,.389,9,20,.310,71.8,79.3,-15.2,-6.7,
9,New Orleans,6,12,.333,10,20,.333,75.0,77.5,-14.2,-8.2,
9,Nicholls State,6,12,.333,11,23,.324,67.6,76.4,-16.7,-5.2,
9,Central Arkansas,6,12,.333,7,21,.250,75.4,83.7,-15.2,-6.8,
12,Northwestern State,5,13,.278,8,20,.286,79.4,86.2,-15.7,-5.7,
13,Lamar,3,15,.167,11,19,.367,75.4,77.0,-14.7,-8.8,
