Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Stephen F. Austin,18,0,1.000,32,3,.914,76.0,63.4,4.8,-6.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Texas A&M-Corpus Christi,14,4,.778,18,16,.529,69.1,68.0,-6.4,-6.7,
3,Sam Houston State,13,5,.722,24,11,.686,75.6,69.5,-4.4,-7.6,
4,Northwestern State,12,6,.667,17,14,.548,86.6,83.8,-3.6,-4.7,
5,Incarnate Word,9,5,.643,21,6,.778,82.1,71.7,-8.5,-10.7,
6,Oral Roberts,10,8,.556,17,16,.515,71.4,69.3,-2.9,-4.4,
6,Nicholls State,10,8,.556,14,15,.483,68.5,72.9,-13.1,-7.7,
8,McNeese State,9,9,.500,11,20,.355,68.1,76.1,-13.1,-4.0,
9,New Orleans,8,10,.444,11,15,.423,71.5,76.4,-15.0,-5.5,
10,Southeastern Louisiana,7,11,.389,12,18,.400,69.5,72.4,-13.1,-7.7,
11,Central Arkansas,5,13,.278,8,21,.276,74.7,81.4,-16.2,-5.5,
12,Lamar,3,15,.167,4,26,.133,66.7,77.3,-16.6,-6.0,
13,Abilene Christian,2,12,.143,11,20,.355,71.4,71.9,-19.6,-4.1,
14,Houston Baptist,2,16,.111,6,25,.194,67.5,76.5,-17.4,-5.4,
