Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Lamar,13,3,.813,19,11,.633,81.5,73.5,-2.4,-4.1,Reg. Season Champion
2,Southeastern Louisiana,9,7,.563,17,13,.567,67.7,62.4,-5.8,-5.5,
2,Northwestern State,9,7,.563,15,18,.455,73.8,79.5,-11.1,-2.7,
4,McNeese State,7,9,.438,13,16,.448,64.7,66.6,-9.4,-3.6,
5,Nicholls State,5,11,.313,10,21,.323,64.7,69.8,-9.2,-1.1,
6,Central Arkansas-nm,4,12,.250,14,16,.467,66.6,67.3,,,
1,Stephen F. Austin,13,3,.813,26,6,.813,67.2,56.4,1.4,-6.2,Reg. Season Champion
2,Sam Houston State,10,6,.625,23,8,.742,70.7,61.6,-0.3,-5.3,
3,Texas-Arlington,7,9,.438,21,12,.636,73.4,68.9,-2.9,-4.6,NCAA Tournament; Conf. Tournament Champion
3,Texas-San Antonio,7,9,.438,13,17,.433,63.4,67.1,-10.4,-3.0,
5,Texas State,6,10,.375,13,16,.448,83.6,84.8,-9.8,-5.3,
5,Texas A&M-Corpus Christi,6,10,.375,9,20,.310,64.0,70.0,-9.2,-2.8,
