Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Sam Houston State,17,3,.850,23,7,.767,72.8,65.0,-1.7,-6.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Stephen F. Austin,16,4,.800,21,8,.724,72.4,62.9,-1.2,-8.0,
3,Texas-Arlington,13,7,.650,16,13,.552,64.1,62.7,-6.1,-6.2,
4,Texas State,11,9,.550,17,12,.586,72.6,67.3,-4.4,-7.6,
5,McNeese State,10,10,.500,15,14,.517,70.2,69.3,-7.0,-5.4,
5,Lamar,10,10,.500,13,14,.481,65.6,66.0,-9.2,-8.1,
5,Louisiana-Monroe,10,10,.500,12,16,.429,71.9,75.8,-10.9,-6.7,
8,Southeastern Louisiana,9,11,.450,11,16,.407,65.7,68.1,-10.8,-5.4,
9,Texas-San Antonio,7,13,.350,10,17,.370,66.7,71.9,-11.2,-5.3,
10,Northwestern State,6,14,.300,6,21,.222,62.3,71.0,-15.5,-6.8,
11,Nicholls State,1,19,.050,3,25,.107,53.9,69.0,-21.9,-5.5,
