Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Stephen F. Austin,13,3,.813,24,8,.750,65.6,56.1,1.1,-3.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Nicholls State,12,4,.750,20,11,.645,65.5,60.2,-3.1,-4.1,
3,Southeastern Louisiana,7,9,.438,13,17,.433,70.9,66.9,-6.2,-2.9,
4,McNeese State,5,11,.313,11,18,.379,63.9,64.3,-5.5,-4.0,
5,Northwestern State,3,13,.188,11,20,.355,70.6,79.8,-18.7,-3.3,
5,Central Arkansas-nm,3,13,.188,10,19,.345,63.5,69.2,,,
1,Sam Houston State,12,4,.750,18,12,.600,76.0,69.3,-0.4,-2.6,Reg. Season Champion
2,Texas A&M-Corpus Christi,11,5,.688,18,15,.545,68.3,67.5,-3.5,-1.5,
3,Texas-Arlington,9,7,.563,16,14,.533,78.0,74.1,-2.4,-3.4,
4,Texas-San Antonio,8,8,.500,19,13,.594,75.1,71.4,-4.7,-4.2,
5,Texas State,7,9,.438,14,16,.467,81.5,77.3,-4.7,-3.9,
6,Lamar,6,10,.375,15,15,.500,73.3,71.9,-5.0,-1.0,
