Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Bowling Green State,14,4,.778,22,8,.733,75.0,70.5,3.3,0.8,Reg. Season Champion
2,Kent State,13,5,.722,23,8,.742,75.7,65.9,10.9,2.2,
3,Akron,11,7,.611,17,11,.607,75.9,71.8,3.4,1.3,
4,Marshall,11,7,.611,21,9,.700,81.4,73.9,5.1,-0.2,
5,Ohio,11,7,.611,20,13,.606,72.3,68.3,7.5,3.5,
6,Miami (OH),8,10,.444,15,15,.500,64.0,62.9,4.7,3.6,
7,Buffalo,3,15,.167,5,23,.179,67.1,82.5,-14.0,1.5,
1,Ball State,11,7,.611,22,9,.710,74.2,69.0,7.8,3.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Toledo,11,7,.611,18,13,.581,70.9,68.7,4.7,2.6,Reg. Season Champion
3,Eastern Michigan,9,9,.500,15,13,.536,71.9,70.6,1.4,1.9,
4,Northern Illinois,7,11,.389,13,15,.464,69.4,68.5,1.0,1.6,
5,Western Michigan,6,12,.333,10,18,.357,73.0,78.3,-3.4,1.9,
6,Central Michigan,2,16,.111,6,23,.207,68.4,75.0,-4.6,2.8,
