Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kent State,13,5,.722,22,9,.710,72.8,64.1,7.8,0.8,Reg. Season Champion
2,Miami (OH),12,6,.667,18,11,.621,62.9,61.8,2.5,1.6,
3,Buffalo,11,7,.611,17,12,.586,75.0,71.4,2.4,-1.2,
4,Marshall,8,10,.444,12,17,.414,69.7,74.1,-2.2,2.2,
5,Ohio,7,11,.389,10,20,.333,66.7,69.7,-3.2,-0.2,
6,Akron,7,11,.389,13,15,.464,71.8,72.1,-0.4,0.0,
1,Western Michigan,15,3,.833,26,5,.839,78.5,66.1,12.3,-0.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Toledo,12,6,.667,20,11,.645,76.7,75.5,2.2,1.0,
3,Ball State,10,8,.556,14,15,.483,70.6,70.1,1.0,1.8,
4,Bowling Green State,8,10,.444,14,17,.452,70.8,71.2,-1.3,0.5,
5,Eastern Michigan,7,11,.389,13,15,.464,70.9,70.3,-4.0,-1.1,
6,Northern Illinois,5,13,.278,10,20,.333,67.7,70.0,-4.3,0.1,
7,Central Michigan,2,16,.111,6,24,.200,70.5,80.4,-9.4,1.5,
