Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kent State,12,4,.750,25,12,.676,71.0,66.8,3.6,0.0,Reg. Season Champion
2,Miami (OH),11,5,.688,16,17,.485,66.4,70.3,-1.6,3.0,
3,Akron,9,7,.563,23,13,.639,70.1,65.7,2.1,-1.0,NCAA Tournament; Conf. Tournament Champion
3,Ohio,9,7,.563,19,16,.543,74.4,72.8,0.6,-1.0,
5,Buffalo,8,8,.500,20,14,.588,70.6,64.6,2.9,-2.2,
5,Bowling Green State,8,8,.500,14,19,.424,64.1,67.1,-5.9,-2.0,
1,Western Michigan,11,5,.688,21,13,.618,71.8,68.3,-0.7,-2.5,Reg. Season Champion
2,Ball State,10,6,.625,19,13,.594,67.6,64.0,-0.7,-3.4,
3,Central Michigan,7,9,.438,10,21,.323,59.4,64.7,-8.0,-2.4,
4,Northern Illinois,5,11,.313,9,21,.300,68.5,73.3,-8.1,-2.3,
4,Eastern Michigan,5,11,.313,9,22,.290,61.5,65.5,-9.1,-3.1,
6,Toledo,1,15,.063,4,28,.125,57.9,70.2,-14.7,-0.9,
