Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Miami (OH),18,0,1.000,31,1,.969,90.7,75.3,5.4,-5.5,NCAA Tournament; Reg. Season Champion
2,Akron,17,1,.944,29,5,.853,88.4,73.5,9.0,-3.3,NCAA Tournament; Conf. Tournament Champion
3,Kent State,14,4,.778,24,9,.727,85.1,79.6,-0.1,-2.5,
4,Toledo,11,7,.611,19,15,.559,81.0,76.6,0.8,-1.6,
5,Bowling Green,9,9,.500,18,14,.563,81.3,71.6,0.5,-3.6,
5,Ohio,9,9,.500,15,17,.469,77.9,78.6,-4.6,-1.3,
7,Buffalo,7,11,.389,17,15,.531,78.0,76.2,-3.5,-4.0,
7,Massachusetts,7,11,.389,17,16,.515,80.2,77.6,-2.1,-3.2,
7,Ball State,7,11,.389,12,19,.387,67.5,69.5,-9.6,-4.3,
10,Central Michigan,6,12,.333,10,21,.323,73.4,76.9,-8.5,-2.5,
11,Eastern Michigan,4,14,.222,10,21,.323,70.7,73.5,-5.7,-1.5,
11,Western Michigan,4,14,.222,10,21,.323,74.8,79.5,-8.3,-2.1,
11,Northern Illinois,4,14,.222,9,21,.300,69.5,77.8,-14.8,-2.2,
