Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kent State,13,3,.813,28,7,.800,68.9,61.9,7.5,0.4,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Akron,11,5,.688,24,11,.686,70.8,63.8,6.2,0.3,
3,Ohio,9,7,.563,20,13,.606,67.7,65.1,3.9,1.3,
4,Miami (OH),9,7,.563,17,16,.515,62.5,60.6,5.7,3.8,
5,Bowling Green State,7,9,.438,13,17,.433,63.5,67.9,-5.1,-0.6,
6,Buffalo,3,13,.188,10,20,.333,71.5,75.0,-3.9,0.6,
1,Western Michigan,12,4,.750,20,12,.625,69.7,65.0,3.2,-0.5,Reg. Season Champion
2,Central Michigan,8,8,.500,14,17,.452,71.2,72.4,-3.2,0.2,
3,Eastern Michigan,8,8,.500,14,17,.452,66.3,67.6,-3.2,-1.8,
4,Toledo,7,8,.467,11,19,.367,59.8,66.9,-5.6,1.5,
5,Ball State,5,11,.313,6,24,.200,57.8,63.9,-5.6,0.5,
6,Northern Illinois,3,12,.200,6,22,.214,65.7,75.4,-9.3,0.4,
