Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kent State,13,5,.722,24,10,.706,70.3,62.3,8.7,1.4,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Marshall,12,6,.667,18,9,.667,76.4,69.7,5.5,0.8,
3,Ohio,12,6,.667,19,11,.633,74.9,71.1,4.8,1.5,
4,Bowling Green State,10,8,.556,15,14,.517,75.9,72.8,2.0,1.4,
5,Miami (OH),10,8,.556,17,16,.515,60.5,58.4,4.6,2.5,
6,Akron,9,9,.500,12,16,.429,67.9,72.6,-3.1,1.7,
7,Buffalo,2,16,.111,4,24,.143,66.9,76.6,-9.0,0.7,
1,Central Michigan,14,4,.778,20,8,.714,71.4,67.9,1.0,0.0,Reg. Season Champion
2,Toledo,12,6,.667,22,11,.667,72.4,66.8,7.0,1.4,
3,Ball State,11,7,.611,18,12,.600,69.7,66.4,3.1,0.3,
4,Western Michigan,7,11,.389,7,21,.250,66.4,74.0,-7.2,0.4,
5,Northern Illinois,4,14,.222,5,23,.179,66.6,77.1,-11.5,0.7,
6,Eastern Michigan,1,17,.056,3,25,.107,59.7,70.4,-11.4,-0.8,
