Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Akron,14,4,.778,27,9,.750,77.0,70.8,3.6,-1.2,Reg. Season Champion
2,Ohio,11,7,.611,20,11,.645,77.0,69.9,3.9,-2.6,
2,Buffalo,11,7,.611,17,15,.531,77.7,74.2,0.9,-1.0,
4,Kent State,10,8,.556,22,14,.611,77.0,73.0,0.9,-1.6,NCAA Tournament; Conf. Tournament Champion
5,Bowling Green State,7,11,.389,13,19,.406,73.6,76.7,-6.0,-2.0,
6,Miami (OH),4,14,.222,11,21,.344,70.3,74.5,-8.2,-2.1,
1,Ball State,11,7,.611,21,13,.618,78.7,75.5,-1.5,-3.6,
1,Western Michigan,11,7,.611,16,16,.500,75.5,75.3,-0.8,-0.6,
3,Toledo,9,9,.500,17,17,.500,78.7,75.5,1.2,-0.9,
4,Eastern Michigan,7,11,.389,16,17,.485,77.8,73.0,-0.2,0.2,
4,Northern Illinois,7,11,.389,15,17,.469,72.2,70.7,-3.3,-2.0,
6,Central Michigan,6,12,.333,16,16,.500,88.3,87.7,-5.8,-2.6,
