Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kent State,17,1,.944,30,6,.833,75.9,64.0,13.7,2.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Bowling Green State,12,6,.667,24,9,.727,74.7,67.8,7.7,1.5,
3,Ohio,11,7,.611,17,11,.607,75.1,71.9,3.0,-0.2,
4,Miami (OH),9,9,.500,13,18,.419,63.9,66.4,1.2,3.7,
5,Marshall,8,10,.444,15,15,.500,77.6,77.4,-1.4,1.2,
6,Buffalo,7,11,.389,12,18,.400,67.3,69.6,-2.8,-0.5,
7,Akron,5,13,.278,10,21,.323,69.5,74.3,-4.8,0.4,
1,Ball State,12,6,.667,23,12,.657,78.0,71.9,8.9,3.3,Reg. Season Champion
2,Toledo,11,7,.611,16,14,.533,66.9,68.4,-0.9,0.9,
3,Western Michigan,10,8,.556,17,13,.567,73.5,72.4,0.7,-0.4,
4,Northern Illinois,8,10,.444,12,16,.429,77.6,79.7,-3.2,-0.9,
5,Central Michigan,5,13,.278,9,19,.321,70.0,74.0,-3.6,1.3,
6,Eastern Michigan,2,16,.111,6,24,.200,66.5,79.0,-14.7,-0.7,
