Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Toledo,16,2,.889,27,8,.771,85.4,76.9,5.8,-2.6,Reg. Season Champion
2,Kent State,15,3,.833,28,7,.800,76.1,65.9,7.5,-1.2,NCAA Tournament; Conf. Tournament Champion
3,Akron,13,5,.722,22,11,.667,74.6,66.9,4.2,-1.6,
4,Ball State,11,7,.611,20,12,.625,76.4,71.6,-1.2,-3.5,
5,Ohio,10,8,.556,19,14,.576,78.8,73.1,1.1,-2.7,
6,Buffalo,9,9,.500,15,17,.469,77.5,77.7,-3.0,0.7,
6,Northern Illinois,9,9,.500,13,19,.406,72.0,75.0,-6.5,-2.6,
8,Miami (OH),6,12,.333,12,20,.375,73.7,74.5,-7.5,-2.4,
9,Bowling Green,5,13,.278,11,20,.355,76.0,78.5,-8.5,-3.8,
9,Central Michigan,5,13,.278,10,21,.323,65.7,73.0,-12.0,-2.6,
9,Eastern Michigan,5,13,.278,8,23,.258,72.2,80.8,-11.0,-1.9,
12,Western Michigan,4,14,.222,8,23,.258,69.9,74.0,-10.5,-2.3,
