Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Akron,13,3,.813,26,7,.788,75.3,61.0,10.9,-1.9,Reg. Season Champion
2,Kent State,12,4,.750,21,11,.656,68.6,62.4,5.2,1.3,
3,Miami (OH),10,6,.625,18,15,.545,59.5,57.4,4.8,2.8,NCAA Tournament; Conf. Tournament Champion
4,Ohio,9,7,.563,19,13,.594,72.8,70.3,2.3,0.2,
5,Buffalo,4,12,.250,12,19,.387,68.0,71.8,-3.9,-0.1,
6,Bowling Green State,3,13,.188,13,18,.419,66.5,68.9,-5.5,-1.1,
1,Toledo,14,2,.875,19,13,.594,69.0,68.1,2.7,1.8,Reg. Season Champion
2,Western Michigan,9,7,.563,16,16,.500,71.5,70.4,2.1,2.0,
3,Central Michigan,7,9,.438,13,18,.419,65.6,70.4,-5.3,-0.6,
4,Eastern Michigan,6,10,.375,13,19,.406,63.7,69.0,-6.8,-0.6,
5,Ball State,5,11,.313,9,22,.290,59.6,63.7,-4.5,1.0,
6,Northern Illinois,4,12,.250,7,23,.233,66.9,72.1,-6.7,-0.8,
