Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Buffalo,12,6,.667,23,10,.697,74.6,68.3,7.9,1.6,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,Kent State,12,6,.667,23,12,.657,66.1,62.9,2.0,-0.9,Reg. Season Champion
3,Bowling Green State,11,7,.611,21,12,.636,66.5,62.9,2.9,-1.3,
4,Akron,9,9,.500,21,14,.600,68.1,62.9,3.6,-0.5,
5,Miami (OH),8,10,.444,13,19,.406,66.3,69.6,-3.8,0.3,
6,Ohio,5,13,.278,10,20,.333,67.6,72.2,-4.1,0.5,
1,Central Michigan,12,6,.667,23,9,.719,78.3,68.3,5.6,-1.1,Reg. Season Champion
2,Toledo,11,7,.611,20,13,.606,75.2,71.0,4.9,0.6,
3,Western Michigan,10,8,.556,20,14,.588,70.6,69.2,0.3,0.2,
4,Eastern Michigan,8,10,.444,21,14,.600,69.4,63.7,2.0,-0.1,
4,Northern Illinois,8,10,.444,14,16,.467,65.7,66.3,-1.8,-0.1,
6,Ball State,2,16,.111,7,23,.233,65.4,69.0,-5.1,0.0,
