Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Akron,13,5,.722,26,9,.743,76.6,68.0,5.6,-1.2,Reg. Season Champion
2,Ohio,11,7,.611,23,12,.657,78.5,74.8,1.9,-1.2,
3,Kent State,10,8,.556,19,13,.594,73.8,72.4,-1.5,-1.5,
3,Buffalo,10,8,.556,20,15,.571,77.4,75.3,1.3,0.9,NCAA Tournament; Conf. Tournament Champion
5,Miami (OH),6,12,.333,13,20,.394,63.3,68.2,-5.9,-0.3,
6,Bowling Green State,5,13,.278,16,18,.471,70.6,72.3,-5.9,-1.9,
1,Ball State,10,8,.556,21,14,.600,70.8,66.8,0.1,-3.0,Reg. Season Champion
1,Central Michigan,10,8,.556,17,16,.515,75.6,72.8,-0.7,-1.3,Reg. Season Champion
3,Northern Illinois,9,9,.500,21,13,.618,72.4,67.2,-0.5,-1.2,
3,Eastern Michigan,9,9,.500,18,15,.545,77.4,74.5,-0.1,1.2,
5,Toledo,8,10,.444,17,15,.531,77.6,71.4,3.0,-2.4,
6,Western Michigan,7,11,.389,13,19,.406,73.2,73.5,-2.1,0.1,
