Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kent State,12,6,.667,21,10,.677,76.8,70.7,5.0,0.6,Reg. Season Champion
2,Miami (OH),11,7,.611,13,15,.464,58.6,58.7,1.8,2.9,
3,Akron,9,9,.500,14,14,.500,78.6,77.0,-0.8,-1.4,
4,Marshall,9,9,.500,14,15,.483,73.3,72.2,-0.7,-0.6,
5,Ohio,8,10,.444,14,16,.467,71.3,74.7,-1.0,2.4,
6,Buffalo,2,16,.111,5,23,.179,64.8,72.2,-8.0,-0.6,
1,Central Michigan,14,4,.778,25,7,.781,79.8,73.3,6.9,1.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Northern Illinois,11,7,.611,17,14,.548,69.6,69.8,0.9,1.1,
3,Western Michigan,10,8,.556,20,11,.645,69.4,63.5,6.7,0.8,
4,Ball State,8,10,.444,13,17,.433,73.3,76.0,-0.6,2.2,
5,Bowling Green State,8,10,.444,13,16,.448,67.7,69.4,-2.2,1.9,
6,Eastern Michigan,8,10,.444,14,14,.500,78.9,78.6,-3.8,-0.9,
7,Toledo,7,11,.389,13,16,.448,70.1,70.4,1.8,2.1,
