Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Buffalo,13,5,.722,19,10,.655,73.5,67.3,3.6,-2.1,Reg. Season Champion
2,Akron,12,6,.667,21,13,.618,68.6,66.9,1.2,-0.5,
3,Ohio,11,7,.611,25,12,.676,71.5,67.0,2.7,-1.2,
4,Miami (OH),8,10,.444,13,18,.419,65.3,69.7,-4.4,0.1,
5,Kent State,7,11,.389,16,16,.500,69.6,68.4,-1.8,-1.9,
6,Bowling Green State,6,12,.333,12,20,.375,62.7,64.2,-3.5,-0.2,
1,Toledo,14,4,.778,27,7,.794,79.2,73.2,3.3,-1.5,Reg. Season Champion
1,Western Michigan,14,4,.778,23,10,.697,71.9,67.7,1.7,-1.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
3,Eastern Michigan,10,8,.556,22,15,.595,65.5,61.4,1.8,0.7,
4,Northern Illinois,8,10,.444,15,17,.469,62.3,62.9,-3.5,-1.3,
5,Central Michigan,3,15,.167,10,21,.323,72.5,73.8,-8.8,-2.7,
6,Ball State,2,16,.111,5,25,.167,65.6,73.8,-10.2,0.7,
