Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Akron,13,3,.813,22,12,.647,72.2,65.9,6.3,0.7,Reg. Season Champion
2,Buffalo,12,4,.750,20,11,.645,73.0,67.4,4.2,0.2,
3,Ohio,11,5,.688,29,8,.784,70.2,62.5,7.2,0.2,NCAA Tournament; Conf. Tournament Champion
4,Kent State,10,6,.625,21,12,.636,70.4,66.0,2.8,-1.0,
5,Bowling Green State,9,7,.563,16,16,.500,66.4,63.9,1.2,0.1,
6,Miami (OH),5,11,.313,9,21,.300,60.7,64.2,-2.1,1.9,
1,Eastern Michigan,9,7,.563,14,18,.438,53.3,58.7,-7.9,-1.7,Reg. Season Champion
2,Toledo,7,9,.438,19,17,.528,69.4,66.3,-3.3,-3.6,
3,Ball State,6,10,.375,15,15,.500,63.4,60.7,-2.9,-4.4,
3,Western Michigan,6,10,.375,14,20,.412,68.6,69.9,-1.8,0.2,
5,Central Michigan,5,11,.313,11,21,.344,61.9,66.7,-6.7,-1.6,
6,Northern Illinois,3,13,.188,5,26,.161,55.4,67.6,-15.6,-1.8,
