Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Akron,14,2,.875,26,7,.788,71.8,62.8,8.1,0.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,Ohio,14,2,.875,24,10,.706,72.5,64.5,6.9,-1.1,Reg. Season Champion
3,Kent State,9,7,.563,21,14,.600,71.0,67.8,2.4,-0.8,
4,Buffalo,7,9,.438,14,20,.412,66.9,67.3,-1.9,-0.3,
4,Bowling Green State,7,9,.438,13,19,.406,62.8,63.5,-3.3,-1.8,
6,Miami (OH),3,13,.188,9,22,.290,63.0,68.6,-6.6,-0.3,
1,Western Michigan,10,6,.625,22,13,.629,67.0,63.9,0.4,-1.4,Reg. Season Champion
1,Toledo,10,6,.625,15,13,.536,68.9,68.3,-2.4,-3.0,
3,Ball State,8,8,.500,15,15,.500,65.2,68.0,-6.7,-3.1,
4,Eastern Michigan,7,9,.438,16,18,.471,56.6,59.1,-6.2,-1.2,
5,Central Michigan,4,12,.250,11,20,.355,67.5,71.8,-6.1,-1.2,
6,Northern Illinois,3,13,.188,5,25,.167,54.0,62.8,-12.0,-2.2,
