Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Bowling Green State,11,5,.688,19,14,.576,64.4,61.2,0.1,-1.7,Reg. Season Champion
2,Buffalo,11,5,.688,21,12,.636,65.3,63.0,1.4,-0.9,Reg. Season Champion
3,Miami (OH),10,6,.625,17,13,.567,61.6,58.9,3.2,0.5,
4,Akron,10,6,.625,23,13,.639,66.8,60.3,3.4,-2.0,NCAA Tournament; Conf. Tournament Champion
5,Kent State,10,6,.625,19,15,.559,68.9,64.7,0.7,-1.0,
6,Ohio,7,9,.438,15,17,.469,64.8,65.0,-1.6,-1.4,
1,Ball State,7,9,.438,14,17,.452,57.9,59.7,-5.5,-3.0,Reg. Season Champion
2,Central Michigan,7,9,.438,12,19,.387,62.2,65.1,-7.1,-4.2,Reg. Season Champion
3,Western Michigan,7,9,.438,10,21,.323,61.9,64.6,-5.7,-3.2,Reg. Season Champion
4,Eastern Michigan,6,10,.375,8,24,.250,57.3,63.8,-11.7,-1.8,
5,Northern Illinois,5,11,.313,10,20,.333,66.2,70.8,-10.0,-5.1,
6,Toledo,5,11,.313,7,25,.219,59.2,67.9,-10.5,-1.0,
