Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kent State,15,3,.833,25,9,.735,72.3,65.9,6.3,0.0,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Akron,14,4,.778,23,10,.697,72.9,66.1,5.0,0.1,
3,Miami (OH),14,4,.778,18,11,.621,62.8,60.1,3.9,1.2,
4,Ohio,10,8,.556,19,11,.633,69.2,64.5,3.8,-0.5,
5,Buffalo,8,10,.444,19,13,.594,72.4,70.2,-0.1,-1.2,
6,Bowling Green State,5,13,.278,9,21,.300,65.9,71.4,-7.8,0.4,
1,Northern Illinois,12,6,.667,17,11,.607,71.6,67.6,2.7,0.0,Reg. Season Champion
2,Western Michigan,10,8,.556,14,17,.452,63.5,68.6,-5.7,0.2,
3,Toledo,10,8,.556,20,11,.645,69.4,63.9,3.2,-2.1,
4,Ball State,6,12,.333,10,18,.357,63.5,65.0,-3.5,-0.6,
5,Eastern Michigan,3,15,.167,7,21,.250,65.5,72.0,-7.3,-1.4,
6,Central Michigan,1,17,.056,4,24,.143,60.0,69.3,-12.4,-1.0,
