Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kent State,13,3,.813,24,10,.706,70.1,65.1,5.3,0.7,Reg. Season Champion
2,Akron,12,4,.750,24,11,.686,70.6,65.5,2.8,-1.5,Reg. Season Champion
3,Buffalo,9,7,.563,18,12,.600,72.3,71.2,-2.0,-2.3,
4,Miami (OH),9,7,.563,14,18,.438,62.4,63.3,0.6,1.4,
5,Ohio,7,9,.438,22,15,.595,74.7,69.4,4.6,0.0,NCAA Tournament; Conf. Tournament Champion
6,Bowling Green State,6,10,.375,14,16,.467,63.0,65.9,-4.7,-0.9,
1,Central Michigan,9,7,.563,15,15,.500,64.6,64.1,-3.6,-3.6,
2,Eastern Michigan,8,8,.500,17,15,.531,66.4,65.5,-3.5,-3.6,Reg. Season Champion
3,Western Michigan,8,8,.500,18,15,.545,69.3,66.5,0.4,-1.2,
4,Ball State,8,8,.500,15,15,.500,60.6,62.4,-4.8,-1.5,
5,Northern Illinois,6,10,.375,10,20,.333,67.2,71.9,-7.6,-2.1,
6,Toledo,1,15,.063,4,28,.125,54.2,66.8,-14.4,-0.8,
