Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Buffalo,16,2,.889,32,4,.889,84.4,70.8,15.6,2.6,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Bowling Green State,12,6,.667,22,12,.647,78.5,73.4,4.2,0.9,
3,Kent State,11,7,.611,22,11,.667,75.2,73.2,1.3,0.6,
4,Akron,8,10,.444,17,16,.515,68.8,63.8,4.9,1.1,
5,Miami (OH),7,11,.389,15,17,.469,70.8,69.8,0.8,2.3,
6,Ohio,6,12,.333,14,17,.452,70.1,73.8,-1.8,3.2,
1,Toledo,13,5,.722,25,8,.758,76.9,68.4,8.2,0.7,
2,Central Michigan,10,8,.556,23,12,.657,82.7,76.9,2.8,-0.3,
3,Eastern Michigan,9,9,.500,15,17,.469,68.8,69.2,0.4,4.4,
4,Northern Illinois,8,10,.444,17,17,.500,73.7,71.0,2.6,1.1,
5,Ball State,6,12,.333,16,17,.485,75.1,71.6,3.4,1.2,
6,Western Michigan,2,16,.111,8,24,.250,70.2,76.2,-6.3,1.5,
