Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Southeastern Conference,12,220,145,.603,12.95,8.58,4,6,0,Kentucky (East) Mississippi State (West),Kentucky
2,Big 12 Conference,12,238,146,.620,12.94,8.21,4,6,2,Kansas,Oklahoma
3,Atlantic Coast Conference,9,170,111,.605,12.75,7.83,3,4,0,Wake Forest,Duke
4,Big East Conference,14,262,179,.594,11.03,7.13,4,4,1,Boston College (East) Connecticut (East) Pittsburgh (West) Syracuse (West),Pittsburgh
5,Big Ten Conference,11,200,146,.578,10.68,7.66,2,5,0,Wisconsin,Illinois
6,Pacific-10 Conference,10,170,132,.563,9.81,7.72,2,5,0,Arizona,Oregon
7,Conference USA,14,231,187,.553,7.22,5.44,3,4,1,Marquette (American) Memphis (National),Louisville
8,Mountain West Conference,8,147,101,.593,6.39,4.10,0,3,0,Brigham Young Utah,Colorado State
9,Atlantic 10 Conference,12,184,174,.514,4.28,3.98,2,3,0,Saint Joseph's (East) Xavier (West),Dayton
10,Missouri Valley Conference,10,148,152,.493,1.60,1.70,1,2,0,Southern Illinois,Creighton
11,West Coast Conference,8,122,115,.515,1.28,1.45,0,2,0,Gonzaga,San Diego
12,Western Athletic Conference,10,154,143,.519,0.94,1.23,0,1,0,Fresno State,Tulsa
13,Sun Belt Conference,11,172,154,.528,0.87,0.49,0,1,0,Western Kentucky (East) Louisiana (West),Western Kentucky
14,Horizon League,9,142,131,.520,0.66,0.53,0,2,0,Butler,Milwaukee
15,Mid-American Conference,13,196,188,.510,0.46,0.94,0,1,0,Kent State (East) Central Michigan (West),Central Michigan
16,Colonial Athletic Association,10,141,148,.488,-2.77,-2.57,0,1,0,North Carolina-Wilmington,North Carolina-Wilmington
17,Big West Conference,10,138,151,.478,-2.94,-1.54,0,1,0,UC-Santa Barbara,Utah State
18,Metro Atlantic Athletic Conference,10,146,147,.498,-3.20,-2.54,0,1,0,Manhattan,Manhattan
19,Big Sky Conference,8,115,118,.494,-3.32,-1.73,0,1,0,Weber State,Weber State
20,Ivy League,8,100,119,.457,-5.08,-3.54,0,1,0,Pennsylvania,
21,Southern Conference,12,180,174,.508,-5.59,-3.45,0,1,0,Appalachian State (North) Davidson (North) East Tennessee State (North) College of Charleston (South),East Tennessee State
22,Ohio Valley Conference,9,132,131,.502,-5.77,-3.13,0,1,0,Austin Peay Morehead State,Austin Peay
23,Mid-Continent Conference,8,105,131,.445,-6.03,-3.13,0,1,0,Valparaiso,IUPUI
24,America East Conference,9,126,139,.475,-6.77,-4.99,0,1,0,Boston University,Vermont
25,Patriot League,8,112,118,.487,-7.14,-5.70,0,1,0,Holy Cross,Holy Cross
26,Atlantic Sun Conference,12,171,178,.490,-7.41,-5.47,0,1,0,Belmont (North) Mercer (South) Troy (South),Troy
27,Southland Conference,11,147,163,.474,-9.08,-6.53,0,1,0,Sam Houston State,Sam Houston State
28,Northeast Conference,12,156,186,.456,-10.80,-8.21,0,1,0,Wagner,Wagner
29,Big South Conference,8,105,126,.455,-13.22,-8.84,0,1,0,Winthrop,North Carolina-Asheville
30,Southwest Athletic Conference,10,121,172,.413,-13.82,-9.34,0,1,0,Prairie View Texas Southern,Texas Southern
31,Mid-Eastern Athletic Conference,11,130,188,.409,-14.59,-10.32,0,1,0,South Carolina State,South Carolina State
32,Independent,6,58,114,.337,-16.02,-5.96,0,0,0,,
