Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Big 12 Conference,12,253,154,.622,12.36,7.41,2,6,1,Kansas Texas,Kansas
2,Atlantic Coast Conference,12,248,153,.618,12.32,7.97,3,4,1,North Carolina,North Carolina
3,Pacific-10 Conference,10,207,133,.609,11.70,7.75,3,6,1,UCLA,UCLA
4,Big East Conference,16,315,217,.592,10.89,7.45,6,8,0,Georgetown,Pittsburgh
5,Southeastern Conference,12,244,157,.608,9.92,6.08,2,6,0,Tennessee (East) Mississippi State (West),Georgia
6,Big Ten Conference,11,214,156,.578,9.90,6.80,3,4,0,Wisconsin,Wisconsin
7,Missouri Valley Conference,10,184,145,.559,5.36,3.82,1,1,0,Drake,Drake
8,Atlantic 10 Conference,14,254,197,.563,4.97,3.32,1,3,0,Xavier,Temple
9,Mountain West Conference,9,165,126,.567,3.96,1.95,0,2,0,Brigham Young,Nevada-Las Vegas
10,Conference USA,12,221,175,.558,3.46,2.34,1,1,1,Memphis,Memphis
11,Horizon League,10,169,150,.530,0.68,1.38,1,1,0,Butler,Butler
12,Mid-American Conference,12,183,195,.484,-0.78,0.51,0,1,0,Kent State (East) Western Michigan (West),Kent State
13,West Coast Conference,8,122,135,.475,-1.47,0.09,1,3,0,Gonzaga,San Diego
14,Colonial Athletic Association,12,189,192,.496,-2.62,-2.05,0,1,0,Virginia Commonwealth,George Mason
15,Sun Belt Conference,13,213,196,.521,-2.77,-1.74,0,2,0,South Alabama (East) Western Kentucky (East) Little Rock (West) Louisiana (West),Western Kentucky
16,Southern Conference,11,173,177,.494,-3.34,-1.47,1,1,0,Appalachian State (North) Chattanooga (North) Davidson (South),Davidson
17,Western Athletic Conference,9,142,148,.490,-3.45,-1.83,0,1,0,Boise State Nevada New Mexico State Utah State,Boise State
18,Summit League,8,124,127,.494,-3.65,-1.04,0,1,0,Oral Roberts,Oral Roberts
19,Metro Atlantic Athletic Conference,10,152,164,.481,-4.24,-3.16,0,1,0,Rider Siena,Siena
20,Big West Conference,9,142,140,.504,-4.58,-2.82,0,1,0,Cal State Fullerton Cal State Northridge UC-Santa Barbara,Cal State Fullerton
21,Patriot League,8,125,119,.512,-5.48,-4.97,0,1,0,American,American
22,Southland Conference,11,179,158,.531,-6.28,-4.02,0,1,0,Lamar (East) Stephen F. Austin (West),Texas-Arlington
23,Big Sky Conference,9,129,144,.473,-6.43,-3.33,0,1,0,Portland State,Portland State
24,Atlantic Sun Conference,8,130,122,.516,-6.82,-4.43,0,1,0,Belmont,Belmont
25,Big South Conference,8,125,122,.506,-7.64,-4.85,0,1,0,North Carolina-Asheville Winthrop,Winthrop
26,America East Conference,9,124,154,.446,-7.65,-5.54,0,1,0,Maryland-Baltimore County,Maryland-Baltimore County
27,Ivy League,8,105,127,.453,-7.75,-4.86,0,1,0,Cornell,
28,Northeast Conference,11,158,180,.467,-8.04,-6.18,0,1,0,Robert Morris,Mount St. Mary's
29,Ohio Valley Conference,11,156,186,.456,-9.69,-6.77,0,1,0,Austin Peay,Austin Peay
30,Independent,4,51,70,.421,-14.03,-3.29,0,0,0,,
31,Mid-Eastern Athletic Conference,11,150,203,.425,-14.32,-8.27,0,1,0,Morgan State,Coppin State
32,Southwest Athletic Conference,10,118,189,.384,-17.80,-11.23,0,1,0,Alabama State Mississippi Valley State,Mississippi Valley State
