Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Big 12 Conference,10,215,131,.621,17.44,11.26,4,6,0,Kansas,Iowa State
2,Atlantic Coast Conference,15,320,196,.620,14.66,9.67,6,9,1,North Carolina,Duke
3,Big East Conference,10,203,135,.601,13.19,9.11,2,7,0,Villanova,Villanova
4,Big Ten Conference,14,288,192,.600,12.64,8.75,3,7,0,Purdue,Michigan
5,Southeastern Conference,14,274,202,.576,11.72,8.82,2,5,1,Kentucky,Kentucky
6,Pac-12 Conference,12,238,168,.586,9.33,6.73,3,4,1,Arizona Oregon,Arizona
7,American Athletic Conference,11,199,163,.550,6.20,4.11,2,2,0,Southern Methodist,Southern Methodist
8,Atlantic 10 Conference,14,250,211,.542,3.80,2.66,0,3,0,Dayton,Rhode Island
9,Missouri Valley Conference,10,172,155,.526,3.48,2.62,1,1,0,Illinois State Wichita State,Wichita State
10,West Coast Conference,10,184,147,.556,3.01,1.94,2,2,1,Gonzaga,Gonzaga
11,Mountain West Conference,11,203,162,.556,2.95,1.92,0,1,0,Nevada,Nevada
12,Colonial Athletic Association,10,171,156,.523,-1.22,-1.27,0,1,0,North Carolina-Wilmington,North Carolina-Wilmington
13,Mid-American Conference,12,211,185,.533,-1.26,-1.67,0,1,0,Akron (East),Kent State
14,Sun Belt Conference,12,217,189,.534,-2.80,-2.60,0,1,0,Texas-Arlington,Troy
15,Ivy League,8,111,117,.487,-3.17,-2.50,0,1,0,Princeton,Princeton
16,Conference USA,14,224,228,.496,-3.26,-2.42,0,1,0,Middle Tennessee,Middle Tennessee
17,Summit League,9,143,141,.504,-3.30,-1.85,0,1,0,South Dakota,South Dakota State
18,Southern Conference,10,172,160,.518,-3.60,-2.17,0,1,0,East Tennessee State Furman North Carolina-Greensboro,East Tennessee State
19,Horizon League,10,169,164,.508,-3.63,-2.42,0,1,0,Oakland Valparaiso,Northern Kentucky
20,Metro Atlantic Athletic Conference,11,179,186,.490,-4.32,-3.32,0,1,0,Monmouth,Iona
21,Western Athletic Conference,8,139,124,.529,-4.37,-2.66,0,1,0,Cal State Bakersfield,New Mexico State
22,Patriot League,10,151,169,.472,-5.00,-3.52,0,1,0,Bucknell,Bucknell
23,Ohio Valley Conference,12,182,196,.481,-5.19,-3.34,0,1,0,Belmont (East),Jacksonville State
24,America East Conference,9,148,147,.502,-6.66,-5.01,0,1,0,Vermont,Vermont
25,Atlantic Sun Conference,8,131,131,.500,-7.21,-4.85,0,1,0,Florida Gulf Coast,Florida Gulf Coast
26,Big West Conference,9,126,160,.441,-7.63,-3.78,0,1,0,UC-Irvine,UC-Davis
27,Big Sky Conference,12,174,210,.453,-7.72,-5.16,0,1,0,North Dakota,North Dakota
28,Southland Conference,13,202,209,.491,-9.35,-5.82,0,1,0,New Orleans,New Orleans
29,Big South Conference,10,160,165,.492,-9.36,-6.04,0,1,0,North Carolina-Asheville Winthrop,Winthrop
30,Northeast Conference,10,133,186,.417,-10.26,-6.52,0,1,0,Mount St. Mary's,Mount St. Mary's
31,Mid-Eastern Athletic Conference,13,156,259,.376,-16.34,-9.42,0,1,0,North Carolina Central,North Carolina Central
32,Southwest Athletic Conference,10,123,199,.382,-17.06,-10.16,0,1,0,Texas Southern,Texas Southern
