Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Southeastern Conference,14,283,198,.588,11.01,7.66,4,8,0,Alabama,Alabama
2,Pac-12 Conference,12,221,186,.543,10.46,8.01,2,4,0,UCLA,Arizona
3,Big 12 Conference,10,217,129,.627,15.63,10.20,5,7,0,Kansas,Texas
4,Big Ten Conference,14,277,200,.581,12.53,8.75,2,8,0,Purdue,Purdue
5,American Athletic Conference,11,199,165,.547,6.23,4.11,2,2,0,Houston,Memphis
6,Conference USA,11,225,157,.589,2.60,1.44,1,1,1,Florida Atlantic,Florida Atlantic
7,West Coast Conference,10,188,144,.566,6.43,4.78,2,2,0,Gonzaga Saint Mary's (CA),Gonzaga
8,Colonial Athletic Association,13,205,222,.480,-6.49,-3.94,0,1,0,College of Charleston Hofstra,College of Charleston
9,Big East Conference,11,215,164,.567,11.33,8.25,3,5,1,Marquette,Marquette
10,Mid-American Conference,12,193,195,.497,-3.47,-2.22,0,1,0,Toledo,Kent State
11,Mountain West Conference,11,215,154,.583,8.03,5.68,1,4,1,San Diego State,San Diego State
12,Atlantic 10 Conference,15,261,229,.533,1.27,0.37,0,1,0,Virginia Commonwealth,Virginia Commonwealth
13,Missouri Valley Conference,12,206,189,.522,-2.05,-2.03,0,1,0,Bradley,Drake
14,Big Sky Conference,10,154,173,.471,-3.40,-1.61,0,1,0,Eastern Washington,Montana State
15,Atlantic Coast Conference,15,281,223,.558,7.47,5.63,3,5,1,Miami (FL) Virginia,Duke
16,Sun Belt Conference,14,249,209,.544,-1.09,-1.42,0,1,0,Southern Mississippi,Louisiana
17,Southern Conference,10,165,166,.498,-4.60,-3.65,0,1,0,Furman Samford,Furman
18,Ivy League,8,123,109,.530,-1.44,-1.96,0,1,0,Princeton Yale,Princeton
19,Horizon League,11,175,190,.479,-6.42,-4.49,0,1,0,Youngstown State,Northern Kentucky
20,Western Athletic Conference,13,237,189,.556,0.66,0.96,0,1,0,Utah Valley,Grand Canyon
21,Big South Conference,10,159,167,.488,-6.14,-4.62,0,1,0,UNC Asheville,UNC Asheville
22,Metro Atlantic Athletic Conference,11,171,178,.490,-5.36,-4.56,0,1,0,Iona,Iona
23,Big West Conference,11,185,178,.510,-1.98,-1.10,0,1,0,UC Irvine UC Santa Barbara,UC Santa Barbara
24,Patriot League,10,155,169,.478,-7.72,-6.39,0,1,0,Colgate,Colgate
25,Summit League,10,160,163,.495,-5.61,-3.38,0,1,0,Oral Roberts,Oral Roberts
26,Southwest Athletic Conference,12,155,230,.403,-12.13,-6.21,0,1,0,Alcorn State Grambling,Texas Southern
27,Independent,2,16,43,.271,-17.21,-5.74,0,0,0,,
28,Atlantic Sun Conference,14,239,217,.524,-4.69,-2.74,0,1,0,Kennesaw State Liberty,Kennesaw State
29,Ohio Valley Conference,10,159,169,.485,-9.84,-6.98,0,1,0,Morehead State,Southeast Missouri State
30,Northeast Conference,9,124,161,.435,-13.96,-9.54,0,1,0,Merrimack,Merrimack
31,America East Conference,9,140,142,.496,-6.98,-5.46,0,1,0,Vermont,Vermont
32,Mid-Eastern Athletic Conference,8,115,138,.455,-10.01,-5.26,0,1,0,Howard,Howard
33,Southland Conference,10,147,177,.454,-11.24,-6.95,0,1,0,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi
