Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Big Ten Conference,12,262,159,.622,14.14,9.21,5,7,1,Indiana,Ohio State
2,Big East Conference,15,316,191,.623,11.81,7.29,6,8,2,Georgetown Louisville Marquette,Louisville
3,Atlantic Coast Conference,12,245,163,.600,10.07,6.44,2,4,0,Miami (FL),Miami (FL)
4,Pac-12 Conference,12,237,168,.585,9.88,6.70,3,5,0,UCLA,Oregon
5,Big 12 Conference,10,199,139,.589,9.49,6.29,3,5,0,Kansas Kansas State,Kansas
6,Mountain West Conference,9,185,113,.621,8.40,5.61,1,5,0,New Mexico,New Mexico
7,Southeastern Conference,14,263,203,.564,8.22,5.09,1,3,0,Florida,Mississippi
8,Atlantic 10 Conference,16,293,225,.566,6.08,4.23,1,5,0,Saint Louis,Saint Louis
9,Missouri Valley Conference,10,194,150,.564,6.07,4.28,1,2,1,Creighton,Creighton
10,West Coast Conference,9,175,130,.574,4.62,2.84,1,2,0,Gonzaga,Gonzaga
11,Conference USA,12,225,175,.563,1.44,0.40,1,1,0,Memphis,Memphis
12,Western Athletic Conference,10,164,156,.513,-0.48,-0.62,0,1,0,Denver Louisiana Tech,New Mexico State
13,Horizon League,9,160,140,.533,-0.54,-0.57,0,1,0,Valparaiso,Valparaiso
14,Metro Atlantic Athletic Conference,10,161,169,.488,-2.11,-1.47,0,1,0,Niagara,Iona
15,Mid-American Conference,12,191,196,.494,-2.30,-1.36,0,1,0,Akron (East) Ohio (East) Western Michigan (West),Akron
16,Big West Conference,10,156,169,.480,-2.73,-0.95,0,1,0,Cal State Long Beach,Pacific
17,Sun Belt Conference,11,174,178,.494,-3.45,-2.48,0,2,0,Middle Tennessee (East) Arkansas State (West),Western Kentucky
18,Patriot League,8,125,128,.494,-3.54,-3.04,0,1,0,Bucknell,Bucknell
19,Colonial Athletic Association,11,163,192,.459,-3.58,-1.85,0,1,0,Northeastern,James Madison
20,Ivy League,8,107,128,.455,-3.73,-1.98,0,1,0,Harvard,
21,Ohio Valley Conference,12,188,187,.501,-5.25,-3.57,0,1,0,Belmont (East) Murray State (West),Belmont
22,America East Conference,9,135,147,.479,-5.63,-4.16,0,1,0,Stony Brook,Albany (NY)
23,Summit League,9,138,153,.474,-6.43,-3.55,0,1,0,South Dakota State Western Illinois,South Dakota State
24,Atlantic Sun Conference,10,144,176,.450,-7.25,-3.92,0,1,0,Mercer,Florida Gulf Coast
25,Northeast Conference,12,171,203,.457,-7.33,-4.60,0,1,0,Robert Morris,Long Island University
26,Southern Conference,12,175,212,.452,-7.61,-4.81,0,1,0,Elon (North) Davidson (South),Davidson
27,Southland Conference,10,145,170,.460,-7.79,-4.50,0,1,0,Stephen F. Austin,Northwestern State
28,Big Sky Conference,11,157,187,.456,-8.22,-5.29,0,1,0,Montana,Montana
29,Big South Conference,12,172,214,.446,-8.86,-5.67,0,1,0,High Point (North) Charleston Southern (South),Liberty
30,Mid-Eastern Athletic Conference,13,173,244,.415,-10.52,-6.02,0,1,0,Norfolk State,North Carolina A&T
31,Great West Conference,5,71,86,.452,-12.00,-7.43,0,0,0,NJIT,Chicago State
32,Independent,2,22,34,.393,-13.85,-4.15,0,0,0,,
33,Southwest Athletic Conference,10,118,192,.381,-15.28,-8.88,0,1,0,Texas Southern,Southern
