Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Pac-12 Conference,12,226,181,.555,10.88,8.54,2,4,0,Arizona,Oregon
2,Southeastern Conference,14,284,197,.590,12.15,8.38,5,8,1,Tennessee,Auburn
3,Big Ten Conference,14,284,199,.588,12.98,9.15,2,6,1,Purdue,Illinois
4,Big 12 Conference,14,295,184,.616,15.09,9.12,4,8,0,Houston,Iowa State
5,West Coast Conference,9,157,141,.527,1.80,1.35,2,2,0,Saint Mary's (CA),Saint Mary's (CA)
6,Big East Conference,11,219,163,.573,12.82,9.58,3,3,1,Connecticut,Connecticut
7,Atlantic Coast Conference,15,298,218,.578,11.35,8.31,4,5,1,North Carolina,NC State
8,Sun Belt Conference,14,230,231,.499,-3.41,-2.42,0,1,0,Appalachian State,James Madison
9,American Athletic Conference,14,251,210,.544,3.68,2.28,0,2,0,South Florida,UAB
10,Atlantic 10 Conference,15,285,215,.570,4.52,2.55,1,2,0,Loyola (IL) Richmond,Duquesne
11,Missouri Valley Conference,12,221,183,.547,2.59,1.51,0,1,0,Indiana State,Drake
12,Mid-American Conference,12,189,199,.487,-5.68,-3.62,0,1,0,Toledo,Akron
13,Southern Conference,10,177,152,.538,-3.08,-2.75,0,1,0,Samford,Samford
14,Big Sky Conference,10,167,166,.502,-6.17,-4.36,0,1,0,Eastern Washington,Montana State
15,Ohio Valley Conference,11,174,183,.487,-10.29,-6.88,0,1,0,Little Rock Morehead State Tennessee-Martin,Morehead State
16,Horizon League,11,181,187,.492,-5.78,-4.03,0,1,0,Oakland,Oakland
17,Ivy League,8,126,107,.541,-2.02,-1.42,0,1,0,Princeton,Yale
18,Western Athletic Conference,11,191,175,.522,-1.60,-0.99,0,1,0,Grand Canyon,Grand Canyon
19,Mountain West Conference,11,219,154,.587,7.08,5.21,2,6,0,Utah State,New Mexico
20,Atlantic Sun Conference,12,185,204,.476,-7.76,-4.48,0,1,0,Eastern Kentucky,Stetson
21,America East Conference,9,147,138,.516,-5.92,-4.69,0,1,0,Vermont,Vermont
22,Summit League,9,147,147,.500,-6.03,-4.45,0,1,0,South Dakota State,South Dakota State
23,Metro Atlantic Athletic Conference,11,170,188,.475,-7.71,-6.10,0,1,0,Quinnipiac,Saint Peter's
24,Conference USA,9,153,142,.519,-2.43,-1.58,0,1,0,Sam Houston,Western Kentucky
25,Northeast Conference,9,123,160,.435,-12.89,-8.58,0,1,0,Central Connecticut State Merrimack,Wagner
26,Patriot League,10,136,189,.418,-10.58,-7.51,0,1,0,Colgate,Colgate
27,Independent,1,13,19,.406,-9.34,-3.03,0,0,0,,
28,Coastal Athletic Association,14,230,230,.500,-5.01,-3.72,0,1,0,College of Charleston,College of Charleston
29,Big South Conference,9,154,142,.520,-4.85,-3.48,0,1,0,High Point,Longwood
30,Big West Conference,11,188,177,.515,-2.73,-2.21,0,1,0,UC Irvine,Long Beach State
31,Southwest Athletic Conference,12,156,232,.402,-13.45,-6.44,0,1,0,Grambling,Grambling
32,Southland Conference,10,151,173,.466,-10.35,-6.30,0,1,0,McNeese State,McNeese State
33,Mid-Eastern Athletic Conference,8,111,145,.434,-12.44,-7.14,0,1,0,Norfolk State,Howard
