Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Southeastern Conference,16,367,195,.653,18.76,12.10,8,14,2,Auburn,Florida
2,West Coast Conference,11,197,174,.531,4.89,3.62,2,2,0,Saint Mary's (CA),Gonzaga
3,Big 12 Conference,16,329,230,.589,15.90,11.43,5,7,1,Houston,Houston
4,Big Ten Conference,18,372,241,.607,16.22,11.27,5,8,0,Michigan State,Michigan
5,Big East Conference,11,212,166,.561,12.07,8.63,1,5,0,St. John's (NY),St. John's (NY)
6,American Athletic Conference,13,234,202,.537,0.98,0.30,1,1,0,Memphis,Memphis
7,Mid-American Conference,12,196,194,.503,-6.45,-4.36,0,1,0,Akron,Akron
8,Southern Conference,10,176,156,.530,-5.27,-3.83,0,1,0,Chattanooga,Wofford
9,Missouri Valley Conference,12,219,182,.546,0.59,0.28,0,1,0,Drake,Drake
10,Atlantic 10 Conference,15,283,222,.560,2.34,0.75,0,1,0,George Mason Virginia Commonwealth,Virginia Commonwealth
11,Atlantic Coast Conference,18,331,270,.551,9.81,7.38,3,4,1,Duke,Duke
12,Horizon League,11,180,185,.493,-5.11,-3.58,0,1,0,Robert Morris,Robert Morris
13,Big West Conference,11,199,171,.538,-2.16,-1.35,0,1,0,UC San Diego,UC San Diego
14,Sun Belt Conference,14,228,233,.495,-5.13,-3.72,0,1,0,Arkansas State James Madison South Alabama Troy,Troy
15,Northeast Conference,9,128,161,.443,-13.73,-8.83,0,1,0,Central Connecticut State,Saint Francis (PA)
16,Ivy League,8,119,106,.529,-4.11,-3.93,0,1,0,Yale,Yale
17,Coastal Athletic Association,14,233,229,.504,-5.43,-4.26,0,1,0,Towson,UNC Wilmington
18,Western Athletic Conference,9,142,149,.488,-4.12,-2.10,0,1,0,Utah Valley,Grand Canyon
19,Conference USA,10,187,145,.563,0.38,0.17,0,1,0,Liberty,Liberty
20,Ohio Valley Conference,11,173,182,.487,-10.60,-7.75,0,1,0,Southeast Missouri State,Southern Illinois-Edwardsville
21,Patriot League,10,151,175,.463,-9.86,-7.49,0,1,0,American Bucknell,American
22,Mountain West Conference,11,198,172,.535,6.51,5.36,0,4,0,New Mexico,Colorado State
23,Southland Conference,12,192,199,.491,-5.05,-2.75,0,1,0,McNeese State,McNeese State
24,Big Sky Conference,10,160,170,.485,-5.86,-3.60,0,1,0,Montana Northern Colorado,Montana
25,Atlantic Sun Conference,12,182,214,.460,-7.65,-4.50,0,1,0,Lipscomb North Alabama,Lipscomb
26,America East Conference,9,140,154,.476,-10.75,-7.97,0,1,0,Bryant,Bryant
27,Summit League,9,149,145,.507,-4.24,-2.68,0,1,0,Omaha,Omaha
28,Big South Conference,9,152,142,.517,-5.64,-3.99,0,1,0,High Point,High Point
29,Metro Atlantic Athletic Conference,13,196,221,.470,-9.95,-7.71,0,1,0,Quinnipiac,Mount St. Mary's
30,Southwest Athletic Conference,12,149,241,.382,-15.36,-7.36,0,1,0,Southern,Alabama State
31,Mid-Eastern Athletic Conference,8,112,144,.438,-12.82,-7.30,0,1,0,Norfolk State South Carolina State,Norfolk State
