Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Big Ten Conference,14,255,181,.585,15.12,10.49,6,0,0,Maryland Michigan State Wisconsin,
2,Big 12 Conference,10,188,125,.601,14.40,10.02,3,0,0,Kansas,
3,Big East Conference,10,195,117,.625,13.66,9.19,4,0,0,Creighton Seton Hall Villanova,
4,Pac-12 Conference,12,226,152,.598,11.47,7.66,1,0,0,Oregon,
5,Atlantic Coast Conference,15,276,197,.584,11.06,7.73,4,0,0,Florida State,
6,Southeastern Conference,14,254,183,.581,10.76,7.36,2,0,0,Kentucky,
7,American Athletic Conference,12,213,155,.579,8.10,4.75,1,0,0,Cincinnati Houston Tulsa,
8,West Coast Conference,10,191,136,.584,5.79,3.33,2,0,0,Gonzaga,Gonzaga
9,Mountain West Conference,11,190,162,.540,5.24,4.02,1,0,0,San Diego State,Utah State
10,Atlantic 10 Conference,14,244,189,.564,4.73,2.69,1,0,0,Dayton,
11,Missouri Valley Conference,10,177,147,.546,1.95,0.96,0,0,0,Northern Iowa,Bradley
12,Mid-American Conference,12,211,169,.555,0.14,-0.51,0,0,0,Akron (East),
13,Conference USA,14,225,213,.514,-0.24,-0.10,0,0,0,North Texas,
14,Sun Belt Conference,12,197,185,.516,-0.78,-0.34,0,0,0,Little Rock,
15,Southern Conference,10,178,147,.548,-1.62,-1.73,0,0,0,East Tennessee State,East Tennessee State
16,Ivy League,8,114,112,.504,-2.15,-1.77,0,0,0,Yale,
17,Colonial Athletic Association,10,168,156,.519,-3.06,-2.43,0,0,0,Hofstra,Hofstra
18,Big Sky Conference,11,174,168,.509,-3.07,-2.08,0,0,0,Eastern Washington,
19,Big West Conference,9,134,148,.475,-4.26,-1.87,0,0,0,UC-Irvine,
20,Summit League,9,141,142,.498,-4.29,-2.68,0,0,0,North Dakota State South Dakota State,North Dakota State
21,Horizon League,10,153,171,.472,-6.04,-3.70,0,0,0,Wright State,Northern Kentucky
22,Metro Atlantic Athletic Conference,11,157,180,.466,-6.83,-5.64,0,0,0,Siena,
23,America East Conference,9,141,145,.493,-6.96,-5.06,0,0,0,Vermont,
24,Western Athletic Conference,9,130,141,.480,-7.12,-4.05,0,0,0,New Mexico State,
25,Patriot League,10,153,166,.480,-7.35,-5.55,0,0,0,Colgate,Boston University
26,Ohio Valley Conference,12,180,202,.471,-7.62,-5.54,0,0,0,Belmont Murray State,Belmont
27,Atlantic Sun Conference,9,130,155,.456,-7.85,-4.83,0,0,0,Liberty North Florida,Liberty
28,Northeast Conference,11,159,189,.457,-9.04,-6.32,0,0,0,Merrimack,Robert Morris
29,Southland Conference,13,188,214,.468,-9.42,-5.92,0,0,0,Stephen F. Austin,
30,Big South Conference,11,166,189,.468,-9.86,-6.81,0,0,0,Radford Winthrop,Winthrop
31,Mid-Eastern Athletic Conference,11,131,208,.386,-14.34,-8.36,0,0,0,North Carolina Central,
32,Southwest Athletic Conference,10,122,190,.391,-14.97,-8.14,0,0,0,Prairie View,
