Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Southeastern Conference,12,239,148,.618,13.72,8.64,5,6,0,Florida (East) Georgia (East) Kentucky (East) Alabama (West),Mississippi State
2,Atlantic Coast Conference,9,172,114,.601,12.99,8.71,2,4,1,Maryland,Duke
3,Pacific-10 Conference,10,179,131,.577,11.15,8.67,4,6,0,Oregon,Arizona
4,Big Ten Conference,11,197,153,.563,10.93,8.36,2,5,1,Illinois Indiana Ohio State Wisconsin,Ohio State
5,Big 12 Conference,12,232,153,.603,10.39,6.88,3,6,2,Kansas,Oklahoma
6,Big East Conference,14,266,178,.599,9.24,5.44,3,6,0,Connecticut (East) Pittsburgh (West),Connecticut
7,Conference USA,14,247,190,.565,8.11,5.65,2,3,0,Cincinnati (American) Memphis (National),Cincinnati
8,Mountain West Conference,8,140,104,.574,6.56,4.44,0,3,0,Wyoming,San Diego State
9,Atlantic 10 Conference,12,189,179,.514,3.56,3.95,1,1,0,Saint Joseph's (East) Temple (East) Xavier (West),Xavier
10,Western Athletic Conference,10,170,145,.540,3.15,2.47,1,2,0,Hawaii Tulsa,Hawaii
11,West Coast Conference,8,117,120,.494,0.39,1.09,1,2,0,Gonzaga Pepperdine,Gonzaga
12,Mid-American Conference,13,204,196,.510,0.28,0.90,0,1,0,Kent State (East) Ball State (West),Kent State
13,Missouri Valley Conference,10,150,154,.493,0.26,0.82,0,2,0,Creighton Southern Illinois,Creighton
14,Horizon League,9,140,130,.519,0.12,-0.19,0,1,0,Butler,Illinois-Chicago
15,Sun Belt Conference,11,170,158,.518,-0.75,-0.74,1,1,0,Western Kentucky (East) Louisiana (West) New Mexico State (West),Western Kentucky
16,Big West Conference,10,146,144,.503,-1.78,-0.63,0,1,0,UC-Irvine Utah State,UC-Santa Barbara
17,Southern Conference,12,189,162,.538,-1.80,-1.03,0,1,0,Davidson (North) East Tennessee State (North) North Carolina-Greensboro (North) Chattanooga (South) College of Charleston (South) Georgia Southern (South),Davidson
18,Colonial Athletic Association,10,151,149,.503,-2.63,-2.00,0,1,0,North Carolina-Wilmington,North Carolina-Wilmington
19,Mid-Continent Conference,8,117,119,.496,-2.79,-1.40,0,1,0,Valparaiso,Valparaiso
20,Ivy League,8,118,109,.520,-4.40,-3.90,0,1,0,Pennsylvania Princeton Yale,
21,Big Sky Conference,8,116,115,.502,-5.16,-2.55,0,1,0,Montana State,Montana
22,Ohio Valley Conference,9,132,138,.489,-5.64,-2.41,0,1,0,Tennessee Tech,Murray State
23,Metro Atlantic Athletic Conference,10,135,163,.453,-5.69,-4.86,0,1,0,Marist Rider,Siena
24,Atlantic Sun Conference,11,155,162,.489,-6.82,-4.84,0,1,0,Georgia State Troy,Florida Atlantic
25,Patriot League,8,108,127,.460,-8.15,-6.39,0,1,0,American,Holy Cross
26,Southland Conference,11,148,168,.468,-9.24,-6.46,0,1,0,McNeese State,McNeese State
27,Independent,3,39,47,.453,-11.23,-1.85,0,0,0,,
28,America East Conference,9,110,153,.418,-12.26,-8.70,0,1,0,Boston University Vermont,Boston University
29,Northeast Conference,12,154,193,.444,-12.35,-9.26,0,1,0,Central Connecticut State,Central Connecticut State
30,Mid-Eastern Athletic Conference,11,137,189,.420,-12.55,-8.20,0,1,0,Hampton,Hampton
31,Big South Conference,8,96,140,.407,-12.65,-6.85,0,1,0,North Carolina-Asheville Winthrop,Winthrop
32,Southwest Athletic Conference,10,119,171,.410,-18.08,-12.15,0,1,0,Alcorn State,Alcorn State
