Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Atlantic Coast Conference,12,238,147,.618,11.53,6.40,3,4,0,Duke,Duke
2,Big East Conference,16,309,194,.614,11.23,7.13,6,8,0,Connecticut Villanova,Syracuse
3,Southeastern Conference,12,240,149,.617,11.01,6.96,3,6,2,Tennessee (East) Louisiana State (West),Florida
4,Pacific-10 Conference,10,181,135,.573,10.43,7.55,2,4,1,UCLA,UCLA
5,Big 12 Conference,12,215,146,.596,10.39,6.84,3,4,0,Kansas Texas,Kansas
6,Big Ten Conference,11,213,133,.616,10.32,6.66,3,6,0,Ohio State,Iowa
7,Missouri Valley Conference,10,179,133,.574,6.60,4.68,0,4,0,Wichita State,Southern Illinois
8,Mountain West Conference,9,152,124,.551,5.02,3.53,0,2,0,San Diego State,San Diego State
9,Atlantic 10 Conference,14,218,201,.520,2.66,1.93,1,2,0,George Washington,Xavier
10,Western Athletic Conference,9,142,131,.520,2.11,2.23,1,2,0,Nevada,Nevada
11,West Coast Conference,8,118,117,.502,1.87,2.63,1,1,0,Gonzaga,Gonzaga
12,Colonial Athletic Association,12,196,172,.533,0.82,0.35,0,2,1,George Mason North Carolina-Wilmington,North Carolina-Wilmington
13,Conference USA,12,191,169,.531,0.31,0.29,2,2,0,Memphis,Memphis
14,Mid-American Conference,12,185,177,.511,-0.99,-0.42,0,1,0,Kent State (East) Northern Illinois (West),Kent State
15,Horizon League,9,138,134,.507,-1.47,-0.33,0,1,0,Milwaukee,Milwaukee
16,Metro Atlantic Athletic Conference,10,146,147,.498,-1.74,-1.08,0,1,0,Manhattan,Iona
17,Big Sky Conference,8,125,110,.532,-2.08,-1.15,0,1,0,Northern Arizona,Montana
18,Sun Belt Conference,11,164,159,.508,-2.39,-1.27,0,1,0,Western Kentucky (East) South Alabama (West),South Alabama
19,Big West Conference,8,115,119,.491,-3.03,-1.54,0,1,0,Pacific,Pacific
20,Southland Conference,11,159,162,.495,-5.97,-3.51,0,1,0,Northwestern State,Northwestern State
21,Mid-Continent Conference,9,114,149,.433,-7.02,-3.69,0,1,0,IUPUI Oral Roberts,Oral Roberts
22,Ivy League,8,100,121,.452,-7.23,-5.08,0,1,0,Pennsylvania,
23,Patriot League,8,114,122,.483,-7.23,-4.63,0,1,0,Bucknell,Bucknell
24,America East Conference,9,113,148,.433,-7.40,-4.90,0,1,0,Albany (NY),Albany (NY)
25,Northeast Conference,11,147,173,.459,-7.50,-5.72,0,1,0,Fairleigh Dickinson,Monmouth
26,Southern Conference,11,166,163,.505,-7.57,-4.96,0,1,0,Elon (North) Georgia Southern (South),Davidson
27,Ohio Valley Conference,11,153,167,.478,-7.83,-5.40,0,1,0,Murray State,Murray State
28,Big South Conference,9,130,131,.498,-8.92,-6.13,0,1,0,Winthrop,Winthrop
29,Atlantic Sun Conference,9,122,141,.464,-10.96,-8.01,0,1,0,Belmont Lipscomb,Belmont
30,Southwest Athletic Conference,10,117,175,.401,-14.16,-8.85,0,1,0,Southern,Southern
31,Mid-Eastern Athletic Conference,11,129,207,.384,-14.58,-8.87,0,1,0,Delaware State,Hampton
32,Independent,4,39,78,.333,-14.84,-2.48,0,0,0,,
