Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Pac-12 Conference,12,222,178,.555,9.49,7.35,3,3,0,Arizona,Arizona
2,Big 12 Conference,10,217,126,.633,15.54,9.75,4,6,1,Baylor Kansas,Kansas
3,Big Ten Conference,14,271,193,.584,11.92,8.60,4,9,0,Illinois Wisconsin,Iowa
4,Southeastern Conference,14,283,196,.591,12.34,8.45,4,6,0,Auburn,Tennessee
5,Conference USA,14,250,214,.539,-0.35,-0.62,0,1,0,Middle Tennessee (East) North Texas (West),UAB
6,Atlantic 10 Conference,14,243,208,.539,3.46,2.30,0,2,0,Davidson,Richmond
7,West Coast Conference,10,183,141,.565,5.14,3.26,2,3,0,Gonzaga,Gonzaga
8,American Athletic Conference,11,194,151,.562,7.32,4.95,1,2,0,Houston,Houston
9,Southern Conference,10,177,148,.545,-1.71,-1.51,0,1,0,Chattanooga,Chattanooga
10,Missouri Valley Conference,10,170,153,.526,2.66,1.53,0,1,0,Northern Iowa,Loyola (IL)
11,Big East Conference,11,218,148,.596,11.22,8.16,3,6,1,Providence,Villanova
12,Atlantic Coast Conference,15,290,224,.564,9.04,6.78,1,5,2,Duke,Virginia Tech
13,Western Athletic Conference,13,221,197,.529,-2.58,-1.70,0,1,0,New Mexico State Seattle Stephen F. Austin,New Mexico State
14,Mid-American Conference,12,192,191,.501,-5.01,-3.39,0,1,0,Toledo,Akron
15,Colonial Athletic Association,10,166,156,.516,-2.20,-1.33,0,1,0,Towson UNC Wilmington,Delaware
16,Sun Belt Conference,12,198,169,.540,-3.69,-2.41,0,1,0,Texas State,Georgia State
17,Horizon League,12,176,205,.462,-8.22,-5.83,0,1,0,Cleveland State Purdue Fort Wayne,Wright State
18,Ivy League,8,108,113,.489,-4.30,-2.82,0,1,0,Princeton,Yale
19,Atlantic Sun Conference,12,188,192,.495,-5.90,-3.28,0,1,0,Liberty (East) Jacksonville State (West),Bellarmine
20,Northeast Conference,10,128,169,.431,-10.96,-7.54,0,1,0,Bryant,Bryant
21,Big South Conference,12,179,194,.480,-7.32,-4.58,0,1,0,Longwood (North) Winthrop (South),Longwood
22,Big Sky Conference,11,179,181,.497,-7.38,-5.05,0,1,0,Montana State,Montana State
23,Mountain West Conference,11,204,153,.571,5.83,4.18,2,4,0,Boise State,Boise State
24,Metro Atlantic Athletic Conference,11,180,169,.516,-3.28,-2.96,0,1,0,Iona,Saint Peter's
25,America East Conference,10,148,158,.484,-8.15,-6.26,0,1,0,Vermont,Vermont
26,Ohio Valley Conference,10,154,165,.483,-5.92,-3.92,1,1,0,Murray State,Murray State
27,Summit League,10,158,158,.500,-6.69,-4.83,0,1,0,South Dakota State,South Dakota State
28,Big West Conference,11,155,158,.495,-3.65,-2.45,0,1,0,Long Beach State,Cal State Fullerton
29,Mid-Eastern Athletic Conference,8,106,131,.447,-12.03,-7.67,0,1,0,Norfolk State,Norfolk State
30,Southwest Athletic Conference,12,137,229,.374,-12.03,-5.86,0,1,0,Alcorn State,Texas Southern
31,Southland Conference,8,119,141,.458,-10.58,-5.90,0,1,0,Nicholls State,Texas A&M-Corpus Christi
32,Patriot League,10,146,174,.456,-9.62,-7.19,0,1,0,Colgate,Colgate
