Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Big 12 Conference,16,325,200,.619,16.78,11.40,0,8,0,Arizona,Arizona
2,Big Ten Conference,18,354,238,.598,16.25,11.43,0,9,0,Michigan,Purdue
3,West Coast Conference,12,218,176,.553,5.49,3.98,0,3,0,Gonzaga Saint Mary's,Gonzaga
4,Southeastern Conference,16,317,209,.603,17.13,11.13,0,10,0,Auburn,Arkansas
5,Big East Conference,11,207,154,.573,12.79,9.42,0,3,0,St. John's (NY),St. John's (NY)
6,Mid-American Conference,13,221,195,.531,-3.20,-2.89,0,2,0,Miami (OH),Akron
7,Missouri Valley Conference,11,195,166,.540,2.35,0.98,0,1,0,Belmont,Northern Iowa
8,Atlantic 10 Conference,14,262,198,.570,4.44,1.93,0,2,0,Saint Louis Virginia Commonwealth,Virginia Commonwealth
9,American Conference,13,223,197,.531,1.57,1.33,0,1,0,South Florida,South Florida
10,Atlantic Coast Conference,18,355,231,.606,14.58,9.49,0,8,0,Duke,Duke
11,Big Sky Conference,10,160,165,.492,-2.98,-1.53,0,1,0,Portland State,Idaho
12,Atlantic Sun Conference,12,179,209,.461,-8.51,-4.95,0,1,0,Austin Peay Central Arkansas,Queens (NC)
13,Coastal Athletic Association,13,224,198,.531,-3.29,-3.15,0,1,0,UNC Wilmington,Hofstra
14,Sun Belt Conference,14,234,226,.509,-6.67,-5.19,0,1,0,Troy,Troy
15,Big West Conference,11,187,175,.517,-2.09,-1.12,0,1,0,UC Irvine,Hawaii
16,Summit League,9,144,151,.488,-6.40,-3.57,0,1,0,North Dakota State,North Dakota State
17,Big South Conference,9,147,147,.500,-7.00,-5.51,0,1,0,High Point,High Point
18,Patriot League,10,150,178,.457,-10.07,-7.12,0,1,0,Navy,Lehigh
19,Western Athletic Conference,7,125,104,.546,-2.65,-1.52,0,1,0,Utah Valley,California Baptist
20,Conference USA,12,206,183,.530,-1.72,-1.25,0,1,0,Liberty,Kennesaw State
21,Southland Conference,12,188,199,.486,-4.39,-2.54,0,1,0,Stephen F. Austin,McNeese
22,Ivy League,8,119,108,.524,-3.16,-3.08,0,1,0,Yale,Pennsylvania
23,Southern Conference,10,161,165,.494,-8.52,-6.06,0,1,0,East Tennessee State,Furman
24,NEC,10,139,181,.434,-12.72,-8.05,0,1,0,Long Island University,Long Island University
25,Ohio Valley Conference,11,172,181,.487,-11.40,-8.22,0,1,0,Morehead State Tennessee State,Tennessee State
26,Southwest Athletic Conference,12,158,232,.405,-15.25,-8.02,0,1,0,Bethune-Cookman,Prairie View A&M
27,Horizon League,11,178,181,.496,-5.49,-3.36,0,1,0,Wright State,Wright State
28,Mountain West Conference,12,216,177,.550,7.28,5.70,0,1,0,Utah State,Utah State
29,America East Conference,9,122,166,.424,-14.20,-9.15,0,1,0,Maryland-Baltimore County,Maryland-Baltimore County
30,Metro Atlantic Athletic Conference,13,203,210,.492,-9.97,-7.67,0,1,0,Merrimack,Siena
31,Mid-Eastern Athletic Conference,8,100,153,.395,-17.79,-9.71,0,1,0,Howard,Howard
