Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Big 12 Conference,10,209,128,.620,14.05,9.03,5,7,0,Kansas,Iowa State
2,Atlantic Coast Conference,15,316,200,.612,12.33,8.06,5,6,1,Virginia,Notre Dame
3,Big Ten Conference,14,287,191,.600,12.22,8.02,3,7,2,Wisconsin,Wisconsin
4,Big East Conference,10,199,136,.594,12.20,8.51,3,6,0,Villanova,Villanova
5,Southeastern Conference,14,276,198,.582,10.65,7.51,2,5,1,Kentucky,Kentucky
6,Pac-12 Conference,12,242,166,.593,9.74,6.59,2,4,0,Arizona,Arizona
7,West Coast Conference,10,179,147,.549,5.07,3.84,1,2,0,Gonzaga,Gonzaga
8,Atlantic 10 Conference,14,250,209,.545,4.43,3.32,1,3,0,Davidson,Virginia Commonwealth
9,American Athletic Conference,11,200,164,.549,3.35,2.29,1,2,0,Southern Methodist,Southern Methodist
10,Missouri Valley Conference,10,187,150,.555,2.25,1.50,2,2,0,Wichita State,Northern Iowa
11,Mountain West Conference,11,195,163,.545,1.69,1.32,0,3,0,Boise State San Diego State,Wyoming
12,Mid-American Conference,12,216,176,.551,1.20,-0.07,0,1,0,Buffalo (East) Kent State (East) Central Michigan (West),Buffalo
13,Big West Conference,9,148,143,.509,-0.76,0.09,0,1,0,UC-Davis,UC-Irvine
14,Conference USA,14,234,222,.513,-1.42,-0.75,0,1,0,Louisiana Tech,Alabama-Birmingham
15,Horizon League,9,148,146,.503,-1.69,-0.54,0,1,0,Valparaiso,Valparaiso
16,Ivy League,8,122,116,.513,-1.99,-1.76,0,1,0,Harvard Yale,
17,Colonial Athletic Association,10,157,168,.483,-3.02,-2.07,0,1,0,James Madison North Carolina-Wilmington Northeastern William & Mary,Northeastern
18,Independent,1,21,12,.636,-3.21,-4.07,0,0,0,,
19,Metro Atlantic Athletic Conference,11,166,189,.468,-3.75,-2.93,0,1,0,Iona,Manhattan
20,Sun Belt Conference,11,181,172,.513,-4.40,-3.48,0,1,0,Georgia State,Georgia State
21,Summit League,9,141,143,.496,-4.83,-3.21,0,1,0,North Dakota State South Dakota State,North Dakota State
22,Ohio Valley Conference,12,190,192,.497,-4.99,-3.44,0,1,0,Murray State (West),Belmont
23,Patriot League,10,154,161,.489,-5.35,-3.55,0,1,0,Bucknell,Lafayette
24,Southern Conference,10,157,165,.488,-6.24,-4.07,0,1,0,Wofford,Wofford
25,Big Sky Conference,12,178,199,.472,-7.10,-4.56,0,1,0,Eastern Washington Montana,Eastern Washington
26,Big South Conference,11,181,179,.503,-7.69,-5.41,0,1,0,Charleston Southern High Point,Coastal Carolina
27,America East Conference,9,125,160,.439,-7.79,-4.73,0,1,0,Albany (NY),Albany (NY)
28,Northeast Conference,10,140,175,.444,-7.99,-5.04,0,1,0,St. Francis (NY),Robert Morris
29,Western Athletic Conference,8,115,144,.444,-8.14,-4.59,0,1,0,New Mexico State,New Mexico State
30,Southland Conference,13,196,207,.486,-9.02,-5.70,0,1,0,Stephen F. Austin,Stephen F. Austin
31,Atlantic Sun Conference,8,125,135,.481,-9.10,-5.79,0,1,0,North Florida,North Florida
32,Mid-Eastern Athletic Conference,13,171,251,.405,-12.87,-7.36,0,1,0,North Carolina Central,Hampton
33,Southwest Athletic Conference,10,120,198,.377,-15.63,-8.87,0,1,0,Texas Southern,Texas Southern
