Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Atlantic Coast Conference,12,256,150,.631,14.34,8.62,2,7,0,North Carolina Virginia,North Carolina
2,Southeastern Conference,12,253,153,.623,12.94,7.92,2,5,1,Florida (East) Mississippi State (West),Florida
3,Big Ten Conference,11,226,143,.612,11.95,7.59,2,6,1,Ohio State,Ohio State
4,Pacific-10 Conference,10,202,131,.607,11.26,7.92,4,6,1,UCLA,Oregon
5,Big East Conference,16,321,202,.614,11.14,6.84,5,6,1,Georgetown,Georgetown
6,Big 12 Conference,12,239,153,.610,10.25,5.93,3,4,0,Kansas,Kansas
7,Missouri Valley Conference,10,189,135,.583,8.58,5.99,1,2,0,Southern Illinois,Creighton
8,Mountain West Conference,9,176,117,.601,6.30,3.76,2,2,0,Brigham Young,Nevada-Las Vegas
9,Conference USA,12,208,172,.547,2.70,1.33,1,1,0,Memphis,Memphis
10,Western Athletic Conference,9,153,135,.531,1.04,0.84,1,2,0,Nevada,New Mexico State
11,Atlantic 10 Conference,14,227,209,.521,1.01,1.11,0,2,0,Massachusetts Xavier,George Washington
12,Horizon League,9,149,140,.516,0.30,1.16,1,2,0,Butler Wright State,Wright State
13,West Coast Conference,8,122,132,.480,-0.07,1.13,0,1,0,Gonzaga,Gonzaga
14,Mid-American Conference,12,186,194,.489,-0.39,0.33,0,1,0,Akron (East) Toledo (West),Miami (OH)
15,Colonial Athletic Association,12,188,192,.495,-1.30,-0.47,0,2,0,Virginia Commonwealth,Virginia Commonwealth
16,Big West Conference,8,129,118,.522,-4.14,-2.74,0,1,0,Cal State Long Beach,Cal State Long Beach
17,Mid-Continent Conference,8,118,133,.470,-4.36,-2.48,0,1,0,Oral Roberts,Oral Roberts
18,Southern Conference,11,172,174,.497,-4.70,-2.20,0,1,0,Appalachian State (North) Davidson (South),Davidson
19,Patriot League,8,123,123,.500,-5.68,-3.68,0,1,0,Bucknell Holy Cross,Holy Cross
20,Ivy League,8,111,115,.491,-6.13,-4.40,0,1,0,Pennsylvania,
21,Big South Conference,8,122,129,.486,-6.24,-3.76,1,1,0,Winthrop,Winthrop
22,Metro Atlantic Athletic Conference,10,147,169,.465,-6.48,-4.58,0,1,0,Marist,Niagara
23,Big Sky Conference,8,123,121,.504,-6.64,-3.22,0,1,0,Northern Arizona Weber State,Weber State
24,America East Conference,9,129,147,.467,-7.29,-5.42,0,1,0,Vermont,Albany (NY)
25,Sun Belt Conference,13,197,209,.485,-8.04,-5.18,0,1,0,South Alabama (East) Arkansas State (West) Louisiana-Monroe (West),North Texas
26,Atlantic Sun Conference,8,127,122,.510,-8.15,-4.35,0,1,0,East Tennessee State,Belmont
27,Southland Conference,11,162,175,.481,-8.40,-4.84,0,1,0,Northwestern State (East) Texas A&M-Corpus Christi (West),Texas A&M-Corpus Christi
28,Ohio Valley Conference,11,155,189,.451,-8.98,-5.99,0,1,0,Austin Peay,Eastern Kentucky
29,Northeast Conference,11,146,187,.438,-9.23,-6.75,0,1,0,Central Connecticut State,Central Connecticut State
30,Independent,4,47,70,.402,-10.57,-1.86,0,0,0,,
31,Mid-Eastern Athletic Conference,11,143,204,.412,-14.23,-8.65,0,1,0,Delaware State,Florida A&M
32,Southwest Athletic Conference,10,126,182,.409,-18.76,-11.43,0,1,0,Jackson State Mississippi Valley State,Jackson State
