Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Atlantic Coast Conference,11,221,132,.626,14.50,9.08,4,5,1,North Carolina,Duke
2,Big 12 Conference,12,226,144,.611,12.26,7.96,4,6,0,Kansas Oklahoma,Oklahoma State
3,Big East Conference,12,224,143,.610,11.42,7.21,4,6,0,Boston College Connecticut,Syracuse
4,Big Ten Conference,11,207,145,.588,11.35,8.26,3,5,2,Illinois,Illinois
5,Southeastern Conference,12,227,153,.597,11.05,6.81,3,5,0,Kentucky (East) Alabama (West) Louisiana State (West),Florida
6,Pacific-10 Conference,10,181,128,.586,8.81,6.72,2,4,0,Arizona,Washington
7,Missouri Valley Conference,10,177,134,.569,6.18,4.29,0,3,0,Southern Illinois,Creighton
8,Conference USA,14,254,190,.572,6.17,4.19,2,4,1,Louisville,Louisville
9,Mountain West Conference,8,136,108,.557,6.02,4.29,1,2,0,Utah,New Mexico
10,West Coast Conference,8,142,103,.580,3.63,2.43,1,2,0,Gonzaga,Gonzaga
11,Mid-American Conference,13,210,180,.538,2.91,2.45,0,1,0,Miami (OH) (East) Toledo (West) Western Michigan (West),Ohio
12,Western Athletic Conference,10,162,144,.529,2.50,1.72,0,2,0,Nevada,Texas-El Paso
13,Atlantic 10 Conference,12,166,189,.468,0.17,1.51,0,1,0,Saint Joseph's (East) George Washington (West),George Washington
14,Sun Belt Conference,11,171,156,.523,-0.95,-0.10,0,1,0,Little Rock (East) Denver (West),Louisiana
15,Horizon League,9,127,134,.487,-1.03,0.42,0,1,0,Milwaukee,Milwaukee
16,Big West Conference,10,149,150,.498,-1.76,-0.78,1,2,0,Pacific,Utah State
17,Colonial Athletic Association,10,150,150,.500,-3.17,-2.48,0,1,0,Old Dominion,Old Dominion
18,America East Conference,10,145,147,.497,-4.80,-3.92,0,1,0,Vermont,Vermont
19,Mid-Continent Conference,9,121,143,.458,-4.89,-1.66,0,1,0,Oral Roberts,Oakland
20,Metro Atlantic Athletic Conference,10,133,160,.454,-4.94,-3.64,0,1,0,Niagara Rider,Niagara
21,Ivy League,8,105,115,.477,-5.38,-4.11,0,1,0,Pennsylvania,
22,Southern Conference,12,183,174,.513,-5.97,-3.73,0,1,0,Chattanooga (North) Davidson (South),Chattanooga
23,Ohio Valley Conference,11,150,169,.470,-6.53,-3.82,0,1,0,Tennessee Tech,Eastern Kentucky
24,Patriot League,8,111,122,.476,-6.85,-4.73,0,1,0,Holy Cross,Bucknell
25,Southland Conference,11,162,156,.509,-7.19,-4.72,0,1,0,Northwestern State Southeastern Louisiana,Southeastern Louisiana
26,Big Sky Conference,8,105,123,.461,-7.99,-5.09,0,1,0,Portland State,Montana
27,Big South Conference,9,124,140,.470,-10.31,-6.86,0,1,0,Winthrop,Winthrop
28,Atlantic Sun Conference,11,152,166,.478,-10.38,-7.72,0,1,0,Central Florida Gardner-Webb,Central Florida
29,Northeast Conference,11,138,177,.438,-10.58,-7.49,0,1,0,Monmouth,Fairleigh Dickinson
30,Independent,4,39,74,.345,-13.01,-4.20,0,0,0,,
31,Mid-Eastern Athletic Conference,11,136,189,.418,-14.13,-9.64,0,1,0,Delaware State,Delaware State
32,Southwest Athletic Conference,10,119,169,.413,-17.19,-11.80,0,1,0,Alabama A&M,Alabama A&M
