Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Atlantic Coast Conference,9,187,104,.643,16.55,10.72,6,6,2,Duke,Maryland
2,Southeastern Conference,12,227,138,.622,11.76,7.28,3,6,0,Kentucky (East) Mississippi State (West),Kentucky
3,Big 12 Conference,12,224,150,.599,10.70,6.83,3,4,1,Oklahoma State,Oklahoma State
4,Big East Conference,14,274,171,.616,10.18,6.61,5,6,1,Pittsburgh,Connecticut
5,Big Ten Conference,11,188,147,.561,8.21,6.42,2,3,0,Illinois,Wisconsin
6,Mountain West Conference,8,137,101,.576,7.25,4.39,0,3,0,Air Force,Utah
7,Pacific-10 Conference,10,159,133,.545,7.09,5.93,2,3,0,Stanford,Stanford
8,Conference USA,14,235,180,.566,6.80,4.70,2,6,0,Alabama-Birmingham Charlotte Cincinnati DePaul Memphis,Cincinnati
9,Western Athletic Conference,10,171,141,.548,5.60,4.24,0,2,0,Nevada Texas-El Paso,Nevada
10,Atlantic 10 Conference,12,198,174,.532,4.54,3.94,1,4,0,Saint Joseph's (East) Dayton (West),Xavier
11,Missouri Valley Conference,10,159,141,.530,3.39,2.48,0,2,0,Southern Illinois,Northern Iowa
12,West Coast Conference,8,125,118,.514,1.80,2.13,1,1,0,Gonzaga,Gonzaga
13,Mid-American Conference,13,195,191,.505,0.27,0.52,0,1,0,Kent State (East) Western Michigan (West),Western Michigan
14,Colonial Athletic Association,10,148,146,.503,-0.47,-0.62,0,1,0,Virginia Commonwealth,Virginia Commonwealth
15,Horizon League,9,131,134,.494,-0.49,0.14,0,1,0,Milwaukee,Illinois-Chicago
16,Big West Conference,10,144,144,.500,-1.08,-0.31,1,1,0,Pacific Utah State,Pacific
17,Sun Belt Conference,11,160,151,.514,-2.66,-1.75,0,1,0,Little Rock (East) Louisiana (West),Louisiana
18,Mid-Continent Conference,9,125,141,.470,-3.39,-1.33,0,1,0,Valparaiso,Valparaiso
19,Metro Atlantic Athletic Conference,10,142,156,.477,-4.04,-2.83,0,1,0,Manhattan,Manhattan
20,Big Sky Conference,8,108,121,.472,-4.31,-2.16,0,1,0,Eastern Washington,Eastern Washington
21,Southern Conference,12,181,171,.514,-5.26,-3.43,0,1,0,East Tennessee State (North) College of Charleston (South) Davidson (South) Georgia Southern (South),East Tennessee State
22,Ohio Valley Conference,11,153,165,.481,-5.70,-3.28,0,1,0,Austin Peay,Murray State
23,Ivy League,8,91,127,.417,-6.54,-4.20,0,1,0,Princeton,
24,Atlantic Sun Conference,11,155,163,.487,-7.06,-4.87,0,1,0,Troy,Central Florida
25,America East Conference,10,142,153,.481,-8.11,-6.67,0,1,0,Boston University,Vermont
26,Southland Conference,11,154,165,.483,-9.38,-6.37,0,1,0,Southeastern Louisiana Texas-Arlington Texas-San Antonio,Texas-San Antonio
27,Northeast Conference,11,146,170,.462,-9.73,-7.50,0,1,0,Monmouth St. Francis (NY),Monmouth
28,Patriot League,8,109,122,.472,-9.79,-7.00,0,1,0,American Lehigh,Lehigh
29,Big South Conference,9,120,140,.462,-9.92,-6.71,0,1,0,Birmingham-Southern Liberty,Liberty
30,Independent,4,36,74,.327,-11.88,-2.54,0,0,0,,
31,Mid-Eastern Athletic Conference,11,125,196,.389,-13.74,-9.43,0,1,0,Coppin State South Carolina State,Florida A&M
32,Southwest Athletic Conference,10,119,169,.413,-15.90,-11.27,0,1,0,Alabama State Mississippi Valley State,Alabama State
