Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Big Ten Conference,11,224,146,.605,14.63,9.56,3,7,0,Ohio State,Ohio State
2,Big East Conference,16,331,210,.612,13.27,8.59,7,11,1,Pittsburgh,Connecticut
3,Big 12 Conference,12,257,149,.633,12.00,6.30,4,5,0,Kansas,Kansas
4,Atlantic Coast Conference,12,241,163,.597,11.23,6.82,2,4,0,North Carolina,Duke
5,Pacific-10 Conference,10,195,146,.572,10.07,7.19,2,4,0,Arizona,Washington
6,Southeastern Conference,12,237,165,.590,8.57,5.23,3,5,1,Florida (East) Alabama (West),Kentucky
7,Mountain West Conference,9,181,120,.601,8.16,5.07,2,3,0,Brigham Young San Diego State,San Diego State
8,Conference USA,12,233,160,.593,4.39,1.88,0,2,0,Alabama-Birmingham,Memphis
9,Atlantic 10 Conference,14,243,209,.538,3.15,2.37,1,3,0,Xavier,Richmond
10,West Coast Conference,8,142,126,.530,2.64,2.17,0,1,0,Gonzaga Saint Mary's (CA),Gonzaga
11,Missouri Valley Conference,10,184,153,.546,2.32,1.45,0,1,0,Missouri State,Indiana State
12,Horizon League,10,179,153,.539,1.87,1.73,0,1,1,Butler Cleveland State Milwaukee,Butler
13,Western Athletic Conference,9,161,133,.548,1.56,0.34,1,1,0,Utah State,Utah State
14,Colonial Athletic Association,12,209,182,.535,0.81,0.47,0,3,1,George Mason,Old Dominion
15,Big West Conference,9,131,152,.463,-2.98,-1.28,0,1,0,Cal State Long Beach,UC-Santa Barbara
16,Mid-American Conference,12,189,209,.475,-3.29,-1.48,0,1,0,Kent State (East) Western Michigan (West),Akron
17,Ivy League,8,117,113,.509,-3.53,-2.64,0,1,0,Harvard Princeton,
18,Metro Atlantic Athletic Conference,10,157,168,.483,-3.60,-2.53,0,1,0,Fairfield,Saint Peter's
19,Atlantic Sun Conference,11,164,189,.465,-4.70,-2.65,0,1,0,Belmont,Belmont
20,Summit League,10,149,164,.476,-4.81,-2.98,0,1,0,Oakland,Oakland
21,Big Sky Conference,9,132,144,.478,-5.05,-2.89,0,1,0,Northern Colorado,Northern Colorado
22,Southern Conference,12,185,205,.474,-5.14,-2.54,0,1,0,Chattanooga (North) Western Carolina (North) College of Charleston (South) Wofford (South),Wofford
23,Sun Belt Conference,12,176,198,.471,-5.88,-3.65,0,1,0,Florida Atlantic (East) Arkansas State (West) Louisiana (West),Little Rock
24,Ohio Valley Conference,10,153,166,.480,-6.46,-4.94,0,1,0,Murray State,Morehead State
25,Big South Conference,10,155,161,.491,-6.49,-3.87,0,1,0,Coastal Carolina,North Carolina-Asheville
26,Northeast Conference,12,168,200,.457,-6.72,-4.68,0,1,0,Long Island University,Long Island University
27,Patriot League,8,113,135,.456,-6.95,-5.14,0,1,0,Bucknell,Bucknell
28,Southland Conference,12,181,186,.493,-7.76,-5.22,0,1,0,McNeese State (East) Sam Houston State (West) Texas State (West),Texas-San Antonio
29,America East Conference,9,126,157,.445,-8.17,-5.41,0,1,0,Vermont,Boston University
30,Mid-Eastern Athletic Conference,11,151,196,.435,-12.83,-7.66,0,1,0,Bethune-Cookman,Hampton
31,Independent,6,67,112,.374,-13.53,-3.71,0,0,0,,
32,Great West Conference,7,88,133,.398,-15.02,-8.40,0,0,0,Utah Valley,North Dakota
33,Southwest Athletic Conference,10,116,197,.371,-16.98,-9.41,0,1,0,Texas Southern,Alabama State
