Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Big 12 Conference,10,220,130,.629,15.16,9.82,3,7,1,Kansas,Kansas
2,Big East Conference,10,213,128,.625,14.23,9.28,2,6,1,Xavier,Villanova
3,Atlantic Coast Conference,15,315,200,.612,13.38,8.51,5,9,0,Virginia,Virginia
4,Big Ten Conference,14,289,189,.605,13.01,7.99,4,4,1,Michigan State,Michigan
5,Southeastern Conference,14,286,193,.597,13.00,9.34,4,8,0,Auburn Tennessee,Kentucky
6,Pac-12 Conference,12,231,172,.573,8.62,6.15,1,3,0,Arizona,Arizona
7,American Athletic Conference,12,224,168,.571,5.58,3.40,3,3,0,Cincinnati,Cincinnati
8,Mountain West Conference,11,198,163,.548,4.43,3.05,1,2,0,Nevada,San Diego State
9,Missouri Valley Conference,10,186,145,.562,2.43,1.61,0,1,1,Loyola (IL),Loyola (IL)
10,Atlantic 10 Conference,14,232,224,.509,2.26,1.99,0,3,0,Rhode Island,Davidson
11,West Coast Conference,10,180,159,.531,1.83,1.43,2,1,0,Gonzaga,Gonzaga
12,Conference USA,14,245,221,.526,0.22,0.20,0,1,0,Middle Tennessee,Marshall
13,Mid-American Conference,12,219,181,.548,-2.01,-1.88,0,1,0,Buffalo (East),Buffalo
14,Summit League,8,134,122,.523,-2.89,-1.41,0,1,0,South Dakota State,South Dakota State
15,Sun Belt Conference,12,201,194,.509,-2.95,-2.67,0,1,0,Louisiana,Georgia State
16,Colonial Athletic Association,10,167,156,.517,-3.06,-2.14,0,1,0,College of Charleston Northeastern,College of Charleston
17,Big Sky Conference,12,198,195,.504,-3.56,-2.00,0,1,0,Montana,Montana
18,Western Athletic Conference,8,133,130,.506,-3.80,-1.77,0,1,0,New Mexico State,New Mexico State
19,Big West Conference,9,139,148,.484,-4.19,-1.67,0,1,0,UC-Davis,Cal State Fullerton
20,Ivy League,8,109,125,.466,-4.65,-3.08,0,1,0,Harvard Pennsylvania,Pennsylvania
21,Metro Atlantic Athletic Conference,11,164,191,.462,-4.80,-3.48,0,1,0,Canisius Rider,Iona
22,Southern Conference,10,168,161,.511,-5.23,-3.38,0,1,0,North Carolina-Greensboro,North Carolina-Greensboro
23,Ohio Valley Conference,12,190,191,.499,-5.25,-3.54,0,1,0,Murray State,Murray State
24,America East Conference,9,145,147,.497,-5.62,-4.41,0,1,0,Vermont,Maryland-Baltimore County
25,Horizon League,10,154,177,.465,-5.88,-3.58,0,1,0,Northern Kentucky,Wright State
26,Big South Conference,10,164,166,.497,-7.37,-5.25,0,1,0,North Carolina-Asheville,Radford
27,Patriot League,10,145,169,.462,-7.77,-5.84,0,1,0,Bucknell,Bucknell
28,Atlantic Sun Conference,8,118,140,.457,-9.15,-4.72,0,1,0,Florida Gulf Coast,Lipscomb
29,Southland Conference,13,201,215,.483,-9.29,-5.77,0,1,0,Nicholls State Southeastern Louisiana,Stephen F. Austin
30,Northeast Conference,10,146,174,.456,-9.85,-6.89,0,1,0,Wagner,Long Island University
31,Southwest Athletic Conference,10,116,211,.355,-15.97,-8.63,0,1,0,Grambling,Texas Southern
32,Mid-Eastern Athletic Conference,13,162,265,.379,-16.74,-9.52,0,1,0,Bethune-Cookman Hampton Savannah State,North Carolina Central
