Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Atlantic Coast Conference,12,255,142,.642,12.49,7.82,5,7,1,North Carolina,Duke
2,Pacific-10 Conference,10,205,137,.599,11.90,8.06,3,6,0,Washington,Southern California
3,Big East Conference,16,335,214,.610,11.82,7.91,6,7,2,Louisville,Louisville
4,Big 12 Conference,12,260,153,.630,11.41,6.66,3,6,0,Kansas,Missouri
5,Big Ten Conference,11,232,143,.619,10.85,7.76,2,7,1,Michigan State,Purdue
6,Southeastern Conference,12,242,158,.605,8.35,4.56,1,3,0,South Carolina (East) Tennessee (East) Louisiana State (West),Mississippi State
7,Mountain West Conference,9,170,125,.576,6.45,4.03,1,2,0,Brigham Young New Mexico Utah,Utah
8,Conference USA,12,217,178,.549,3.76,2.87,1,1,0,Memphis,Memphis
9,Atlantic 10 Conference,14,244,206,.542,2.75,1.83,1,3,0,Xavier,Temple
10,Missouri Valley Conference,10,181,150,.547,2.49,1.95,0,1,0,Creighton Northern Iowa,Northern Iowa
11,Horizon League,10,168,152,.525,0.30,0.81,1,2,0,Butler,Cleveland State
12,Western Athletic Conference,9,158,135,.539,0.30,0.02,0,1,0,Utah State,Utah State
13,West Coast Conference,8,130,129,.502,-0.31,1.37,1,1,0,Gonzaga,Gonzaga
14,Colonial Athletic Association,12,201,190,.514,-2.26,-1.78,0,1,0,Virginia Commonwealth,Virginia Commonwealth
15,Metro Atlantic Athletic Conference,10,161,160,.502,-2.57,-1.80,0,1,0,Siena,Siena
16,Atlantic Sun Conference,7,122,100,.550,-2.76,-1.27,0,1,0,Jacksonville,East Tennessee State
17,Big West Conference,9,133,146,.477,-2.90,-1.63,0,1,0,Cal State Northridge,Cal State Northridge
18,Mid-American Conference,12,175,210,.455,-3.60,-2.07,0,1,0,Bowling Green State (East) Buffalo (East) Ball State (West) Central Michigan (West) Western Michigan (West),Akron
19,Summit League,10,142,173,.451,-3.74,-1.79,0,1,0,North Dakota State,North Dakota State
20,Sun Belt Conference,13,203,207,.495,-4.69,-3.15,0,1,0,Western Kentucky (East) Little Rock (West),Western Kentucky
21,Southland Conference,11,179,159,.530,-4.82,-3.10,0,1,0,Stephen F. Austin (East) Sam Houston State (West),Stephen F. Austin
22,Big Sky Conference,9,124,150,.453,-5.10,-2.31,0,1,0,Weber State,Portland State
23,America East Conference,9,140,141,.498,-6.16,-4.72,0,1,0,Binghamton Vermont,Binghamton
24,Ohio Valley Conference,10,148,163,.476,-6.37,-4.47,0,1,0,Tennessee-Martin,Morehead State
25,Southern Conference,12,183,201,.477,-7.69,-4.83,0,1,0,Chattanooga (North) Western Carolina (North) Davidson (South),Chattanooga
26,Ivy League,8,101,125,.447,-7.92,-5.46,0,1,0,Cornell,
27,Patriot League,8,112,131,.461,-8.29,-6.41,0,1,0,American,American
28,Big South Conference,9,136,145,.484,-9.25,-5.49,0,1,0,Radford,Radford
29,Northeast Conference,11,151,189,.444,-9.47,-6.76,0,1,0,Robert Morris,Robert Morris
30,Independent,4,61,58,.513,-11.25,-3.80,0,0,0,,
31,Mid-Eastern Athletic Conference,11,148,202,.423,-12.97,-7.42,0,1,0,Morgan State,Morgan State
32,Southwest Athletic Conference,10,112,199,.360,-16.45,-9.49,0,1,0,Alabama State,Alabama State
