Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
1,Big 12 Conference,10,165,116,.587,11.74,8.94,6,7,1,Baylor,Texas
2,Big Ten Conference,14,227,172,.569,14.91,11.89,5,9,0,Michigan,Illinois
3,Southeastern Conference,14,212,163,.565,11.18,8.48,2,6,0,Alabama,Alabama
4,West Coast Conference,10,134,96,.583,5.24,5.06,2,2,1,Gonzaga,Gonzaga
5,Pac-12 Conference,12,193,150,.563,11.89,9.86,2,5,1,Oregon,Oregon State
6,Atlantic 10 Conference,14,151,142,.515,3.54,3.10,0,2,0,St. Bonaventure,St. Bonaventure
7,Southland Conference,13,150,180,.455,-10.87,-7.02,0,1,0,Nicholls State,Abilene Christian
8,American Athletic Conference,11,141,107,.569,6.77,5.54,1,2,1,Wichita State,Houston
9,Conference USA,14,201,162,.554,-0.76,-1.35,0,1,0,Western Kentucky (East) Louisiana Tech (West),North Texas
10,Big East Conference,11,152,125,.549,10.56,8.73,2,4,0,Villanova,Georgetown
11,Big Sky Conference,11,129,125,.508,-5.63,-3.91,0,1,0,Southern Utah,Eastern Washington
12,Mid-American Conference,12,141,138,.505,-3.22,-1.97,0,1,0,Toledo,Ohio
13,Atlantic Coast Conference,15,201,164,.551,10.17,8.22,3,7,0,Virginia,Georgia Tech
14,Missouri Valley Conference,10,144,124,.537,1.22,0.86,1,2,0,Loyola (IL),Loyola (IL)
15,Northeast Conference,10,96,109,.468,-8.72,-7.37,0,1,0,Wagner,Mount St. Mary's
16,Southern Conference,10,144,111,.565,-1.02,-1.42,0,1,0,UNC Greensboro,UNC Greensboro
17,Atlantic Sun Conference,9,111,107,.509,-7.61,-5.59,0,1,0,Liberty,Liberty
18,America East Conference,10,89,97,.478,-6.51,-5.38,0,1,0,Maryland-Baltimore County Vermont,Hartford
19,Colonial Athletic Association,10,92,95,.492,-4.83,-3.54,0,1,0,James Madison Northeastern,Drexel
20,Horizon League,12,137,147,.482,-7.89,-6.45,0,1,0,Cleveland State Wright State,Cleveland State
21,Western Athletic Conference,9,92,89,.508,-8.08,-3.22,0,1,0,Grand Canyon Utah Valley,Grand Canyon
22,Sun Belt Conference,12,169,143,.542,-6.62,-5.73,0,1,0,Georgia State (East) Texas State (West),Appalachian State
23,Patriot League,10,81,78,.509,-2.86,-2.51,0,1,0,Lafayette (Central) Colgate (North) Navy (South),Colgate
24,Ohio Valley Conference,12,162,162,.500,-8.18,-6.79,0,1,0,Belmont,Morehead State
25,Big South Conference,11,123,146,.457,-8.72,-7.14,0,1,0,Winthrop,Winthrop
26,Metro Atlantic Athletic Conference,11,110,116,.487,-7.88,-7.43,0,1,0,Monmouth Siena,Iona
27,Mid-Eastern Athletic Conference,9,69,97,.416,-14.55,-7.62,0,1,0,Coppin State (Northern) Norfolk State (Northern) North Carolina A&T (Southern),Norfolk State
28,Mountain West Conference,11,152,131,.537,-0.05,0.68,1,2,0,San Diego State,San Diego State
29,Big West Conference,11,122,116,.513,-3.43,-2.10,0,1,0,UC Santa Barbara,UC Santa Barbara
30,Summit League,9,97,125,.437,-5.98,-2.98,0,1,0,South Dakota State,Oral Roberts
31,Southwest Athletic Conference,10,87,122,.416,-17.68,-12.11,0,1,0,Prairie View,Texas Southern
