Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Wichita State,11,2,.846,16,6,.727,71.5,66.8,9.4,6.9,NCAA Tournament; Reg. Season Champion
2,Houston,14,3,.824,28,4,.875,76.1,58.2,21.7,5.4,NCAA Tournament; Conf. Tournament Champion; NCAA FF
3,Memphis,11,4,.733,20,8,.714,72.4,62.7,13.8,4.1,
4,Southern Methodist,7,4,.636,11,6,.647,74.6,68.1,11.0,4.4,
5,Cincinnati,8,6,.571,12,11,.522,68.9,72.1,4.0,7.2,
6,UCF,8,10,.444,11,12,.478,67.2,69.4,5.9,8.2,
7,Tulsa,7,9,.438,11,12,.478,68.4,65.6,4.2,5.4,
8,South Florida,4,10,.286,9,13,.409,65.9,71.4,0.0,6.3,
8,Temple,4,10,.286,5,11,.313,65.8,68.8,2.6,5.6,
10,Tulane,4,12,.250,10,13,.435,63.9,66.5,1.0,3.6,
11,East Carolina,2,10,.167,8,11,.421,66.8,67.9,1.0,3.8,
