Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,South Florida,16,2,.889,25,7,.781,76.1,69.3,7.7,1.0,Reg. Season Champion
2,Florida Atlantic,14,4,.778,25,8,.758,82.5,73.3,13.9,4.7,NCAA Tournament
3,Charlotte,13,5,.722,19,12,.613,68.7,65.6,4.4,2.7,
4,UAB,12,6,.667,23,11,.676,77.8,75.2,5.2,3.7,NCAA Tournament; Conf. Tournament Champion
5,Memphis,11,7,.611,22,10,.688,80.5,75.8,9.2,4.5,
5,Southern Methodist,11,7,.611,20,12,.625,76.3,67.8,10.7,2.5,
7,North Texas,10,8,.556,19,14,.576,69.5,63.5,9.0,4.3,
8,Tulsa,7,11,.389,16,15,.516,75.0,73.9,-0.9,-0.7,
8,East Carolina,7,11,.389,15,18,.455,69.3,70.3,-0.3,1.6,
10,Tulane,5,13,.278,14,17,.452,81.9,80.0,4.0,3.0,
10,Temple,5,13,.278,16,20,.444,70.9,72.9,-1.0,2.0,
10,Wichita State,5,13,.278,15,19,.441,72.8,73.1,2.3,3.5,
10,Rice,5,13,.278,11,21,.344,72.0,75.7,-2.9,2.3,
10,UTSA,5,13,.278,11,21,.344,77.6,81.0,-4.9,-0.4,
