Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Louisville,15,3,.833,31,6,.838,81.0,61.1,24.7,4.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; *Overall W-L adjusted to 0-6 conference W-L adjusted to 0-3
1,Cincinnati,15,3,.833,27,7,.794,68.4,58.4,15.3,5.3,NCAA Tournament; Reg. Season Champion
3,Connecticut,12,6,.667,32,8,.800,71.8,63.2,17.2,8.6,NCAA Tournament; NCAA FF; NCAA Champion
3,Southern Methodist,12,6,.667,27,10,.730,71.0,62.2,13.7,5.0,*Overall W-L adjusted to 0-10
3,Memphis,12,6,.667,24,10,.706,76.9,70.5,13.0,7.1,NCAA Tournament
6,Houston,8,10,.444,17,16,.515,71.1,73.0,2.7,4.6,
7,Rutgers,5,13,.278,12,21,.364,71.1,76.2,-0.3,5.8,
8,Central Florida,4,14,.222,13,18,.419,72.7,73.6,2.3,5.1,
8,Temple,4,14,.222,9,22,.290,73.9,78.1,2.7,6.9,
10,South Florida,3,15,.167,12,20,.375,65.6,70.8,-0.5,4.6,
