Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Cincinnati,16,2,.889,31,5,.861,74.3,57.5,20.2,3.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Houston,14,4,.778,27,8,.771,76.7,64.9,16.0,4.2,NCAA Tournament
2,Wichita State,14,4,.778,25,8,.758,82.8,71.6,16.6,5.5,NCAA Tournament
4,Tulsa,12,6,.667,19,12,.613,73.5,70.9,5.0,2.4,
5,Memphis,10,8,.556,21,13,.618,70.8,71.2,1.8,2.2,
6,Central Florida,9,9,.500,19,13,.594,62.7,61.7,4.8,3.8,
7,Temple,8,10,.444,17,16,.515,69.9,70.5,7.2,7.8,
8,Connecticut,7,11,.389,14,18,.438,68.2,73.1,1.1,6.1,
9,Southern Methodist,6,12,.333,17,16,.515,69.5,64.1,9.1,3.7,
10,Tulane,5,13,.278,14,17,.452,73.2,74.1,1.2,2.1,
11,East Carolina,4,14,.222,10,20,.333,66.4,74.9,-8.7,-0.2,
12,South Florida,3,15,.167,10,22,.313,63.3,70.6,-7.3,0.0,
