Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Houston,17,1,.944,33,4,.892,74.9,57.5,22.2,4.8,NCAA Tournament; Reg. Season Champion
2,Memphis,13,5,.722,26,9,.743,79.4,71.8,14.5,6.9,NCAA Tournament; Conf. Tournament Champion
3,Tulane,12,6,.667,20,11,.645,79.9,77.2,5.5,2.7,
4,Cincinnati,11,7,.611,23,13,.639,77.1,69.3,11.8,5.0,
5,Temple,10,8,.556,16,16,.500,69.6,70.2,4.7,5.3,
6,Wichita State,9,9,.500,17,15,.531,71.0,68.5,5.8,3.2,
7,UCF,8,10,.444,19,15,.559,71.5,65.5,11.1,5.1,
8,South Florida,7,11,.389,14,18,.438,72.0,72.0,1.9,1.9,
9,East Carolina,6,12,.333,16,17,.485,68.8,70.5,-0.3,1.4,
10,Southern Methodist,5,13,.278,10,22,.313,70.3,75.6,-0.1,5.2,
11,Tulsa,1,17,.056,5,25,.167,65.3,77.4,-8.5,3.7,
