Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Troy,13,5,.722,17,11,.607,74.3,70.7,-5.9,-8.6,Reg. Season Champion
1,Georgia State,13,5,.722,17,12,.586,71.8,68.4,-2.8,-6.1,Reg. Season Champion
3,Samford,12,6,.667,21,11,.656,72.6,62.4,3.2,-5.8,NCAA Tournament; Conf. Tournament Champion
3,Jacksonville State,12,6,.667,17,11,.607,69.6,67.9,-7.0,-8.5,
5,Central Florida,10,8,.556,14,18,.438,71.7,72.5,-6.5,-4.9,
5,Campbell,10,8,.556,12,16,.429,62.9,70.0,-13.2,-6.1,
7,Stetson,8,10,.444,13,15,.464,68.3,70.9,-11.9,-8.2,
8,Mercer,7,11,.389,12,21,.364,68.5,71.8,-10.8,-5.8,
9,Jacksonville,5,13,.278,8,19,.296,70.9,72.8,-11.0,-8.0,
10,Florida Atlantic,0,18,.000,2,28,.067,61.1,80.4,-23.3,-3.3,
