Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Murray State,14,4,.778,23,9,.719,79.4,73.0,3.4,-2.4,Reg. Season Champion
2,Southeast Missouri State,14,4,.778,24,7,.774,69.5,61.6,4.4,-2.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
3,Tennessee Tech,11,7,.611,16,12,.571,81.4,73.9,0.0,-3.6,
4,Eastern Illinois,11,7,.611,17,12,.586,80.6,74.4,1.8,-2.0,
5,Austin Peay,11,7,.611,18,10,.643,75.4,69.6,0.9,-3.3,
6,Middle Tennessee,10,8,.556,15,13,.536,76.5,75.8,-2.4,-2.4,
7,Tennessee-Martin,7,11,.389,10,19,.345,68.2,74.8,-8.1,0.0,
8,Tennessee State,6,12,.333,7,22,.241,67.7,79.2,-13.7,-2.2,
9,Morehead State,4,14,.222,9,18,.333,75.6,77.6,-7.7,-3.2,
10,Eastern Kentucky,2,16,.111,6,21,.222,69.9,78.9,-14.4,-1.7,
